,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
14,Golden State,106.2,0.51,0.16,0.27,20.0,106.0,0.491,0.14,0.276,21.2,2013,Golden State 2013,0.51,0.49,0.609,0.383,0.414,0.401,0.46,0.399,0.414,89.0,0.275,0.805,17.7,16.8,103.5,4.1,0.138,130.4,1.3,0.596,127.7,2.8,0.258,131.7,0.305,0.213,0.263,0.476,0.053,0.166,0.219
15,Utah,106.4,0.496,0.161,0.313,21.1,106.2,0.502,0.159,0.29,22.3,2013,Utah 2013,0.496,0.495,0.621,0.381,0.383,0.382,0.381,0.379,0.38,86.6,0.315,0.803,19.3,17.5,107.3,3.7,0.141,123.5,2.2,0.54,140.9,1.5,0.266,114.3,0.351,0.205,0.257,0.462,0.044,0.143,0.187
16,Boston,103.3,0.507,0.155,0.225,20.6,103.5,0.485,0.163,0.297,21.4,2013,Boston 2013,0.507,0.499,0.598,0.4,0.44,0.426,0.401,0.35,0.368,89.2,0.225,0.809,14.0,12.8,107.0,3.4,0.155,121.2,2.0,0.565,137.2,1.5,0.305,113.9,0.353,0.163,0.289,0.452,0.07,0.125,0.195
17,Dallas,106.1,0.51,0.147,0.244,19.0,106.5,0.496,0.154,0.29,22.9,2013,Dallas 2013,0.51,0.489,0.609,0.422,0.431,0.427,0.365,0.389,0.383,90.4,0.244,0.797,15.0,14.4,102.2,4.2,0.153,126.6,1.8,0.557,137.4,2.3,0.3,122.0,0.301,0.238,0.247,0.484,0.052,0.163,0.215
18,Milwaukee,103.5,0.48,0.147,0.3,17.4,105.0,0.494,0.167,0.313,20.1,2013,Milwaukee 2013,0.48,0.506,0.566,0.349,0.379,0.367,0.386,0.363,0.369,83.3,0.295,0.786,21.3,19.8,103.4,4.0,0.144,125.6,2.0,0.616,135.1,1.9,0.269,119.4,0.383,0.171,0.233,0.404,0.054,0.159,0.213
19,Toronto,105.7,0.491,0.149,0.284,21.2,108.0,0.505,0.155,0.299,24.7,2013,Toronto 2013,0.49,0.495,0.624,0.416,0.379,0.394,0.352,0.347,0.348,87.5,0.28,0.838,17.9,14.9,117.0,3.1,0.11,126.8,2.1,0.514,151.3,1.0,0.205,113.2,0.32,0.188,0.266,0.454,0.049,0.177,0.226
20,Minnesota,102.5,0.474,0.159,0.304,22.9,105.0,0.514,0.171,0.282,18.4,2013,Minnesota 2013,0.474,0.508,0.587,0.344,0.404,0.382,0.362,0.292,0.309,83.1,0.311,0.804,19.6,18.5,103.0,3.6,0.136,125.2,2.4,0.603,141.0,1.2,0.238,114.0,0.401,0.15,0.253,0.403,0.047,0.149,0.196
21,Washington,99.7,0.477,0.162,0.267,19.2,102.9,0.485,0.157,0.281,20.7,2013,Washington 2013,0.477,0.49,0.588,0.39,0.378,0.383,0.456,0.328,0.373,82.1,0.274,0.807,14.5,14.9,95.6,4.3,0.147,129.7,2.1,0.565,147.0,2.2,0.285,122.6,0.31,0.213,0.274,0.487,0.072,0.131,0.203
22,Philadelphia,102.2,0.485,0.143,0.279,14.3,105.6,0.498,0.157,0.293,20.1,2013,Philadelphia 2013,0.485,0.493,0.586,0.404,0.388,0.394,0.378,0.367,0.37,84.4,0.278,0.807,18.1,16.4,106.7,3.1,0.135,121.8,2.0,0.569,143.0,1.0,0.26,110.2,0.333,0.183,0.293,0.476,0.062,0.129,0.191
23,Portland,106.0,0.504,0.158,0.279,19.3,109.5,0.514,0.142,0.288,19.1,2013,Portland 2013,0.504,0.507,0.6,0.399,0.401,0.401,0.394,0.353,0.364,88.7,0.288,0.819,20.6,17.4,115.2,2.4,0.117,118.7,1.7,0.555,142.2,0.8,0.232,107.1,0.351,0.148,0.239,0.387,0.066,0.196,0.262
