Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Average,,,33.1,33.1,,,,,,,111.4,,111.4,,,3.4,3.4,,,,114.1,,114.1,,
Phoenix,1,+8.8,53,13,80.3%,61.6,49.6,3,3.4,2,115.4,1,106.6,6,+1.7,4,3,9,+4.8,15,115.0,9,110.3,10,+1.7
Utah,2,+7.6,41,24,63.1%,58.9,46.7,28,-5.7,1,117.5,9,109.9,18,-0.7,5,2,7,+6.2,5,119.7,12,113.5,28,-5.7
Golden State,3,+5.7,45,22,67.2%,55.3,45.2,18,-0.2,13,112.6,3,106.9,10,+1.2,2,5,21,-2.4,18,114.6,21,117.0,25,-4.4
Miami,4,+5.5,44,23,65.7%,54.7,44.7,20,-0.7,8,113.5,5,108.1,5,+2.0,6,2,4,+7.5,13,115.4,4,107.9,13,+1.0
Boston,5,+5.4,40,27,59.7%,54.7,44.7,27,-4.7,16,112.1,2,106.6,4,+2.1,5,1,8,+5.1,4,120.2,17,115.2,21,-2.3
Memphis,6,+5.2,45,22,67.2%,53.9,44.1,14,0.9,5,114.9,8,109.6,2,+2.6,4,2,2,+10.4,3,120.4,8,109.9,15,-0.1
Milwaukee,7,+4.6,42,25,62.7%,52.5,42.9,21,-0.9,3,115.2,12,110.5,25,-1.6,6,1,3,+9.6,1,125.4,19,115.8,8,+2.4
Minnesota,8,+3.7,38,29,56.7%,50.3,41.1,25,-3.1,7,113.9,11,110.2,3,+2.3,6,1,1,+15.6,2,124.2,6,108.6,3,+9.2
Cleveland,9,+3.2,38,27,58.5%,49.3,39.1,22,-1.1,19,111.0,4,107.8,1,+3.7,3,3,22,-2.5,19,114.6,22,117.0,23,-3.8
Dallas,10,+3.2,40,26,60.6%,49.1,39.6,16,0.4,15,112.3,7,109.1,9,+1.2,5,2,16,+0.2,16,114.8,13,114.6,20,-2.2
Philadelphia,11,+2.7,40,25,61.5%,47.8,37.9,7,2.1,12,112.6,10,110.0,19,-0.8,5,2,10,+4.1,9,117.1,11,112.9,14,+0.3
Denver,12,+2.6,40,27,59.7%,47.6,38.9,12,1.1,10,113.2,13,110.6,11,+0.7,6,2,5,+7.0,17,114.7,3,107.7,17,-0.9
Chicago,13,+1.4,40,26,60.6%,44.6,35.9,1,4.1,6,114.3,21,112.8,16,0.0,1,5,27,-8.3,22,111.1,28,119.4,24,-4.2
Toronto,14,+1.3,35,30,53.8%,44.2,35.1,17,-0.1,18,112.0,14,110.7,13,+0.4,3,5,24,-4.0,26,108.7,10,112.7,27,-5.6
Atlanta,15,+0.3,31,34,47.7%,41.7,33.1,24,-2.1,4,115.0,27,114.7,23,-1.0,3,3,13,+2.5,7,118.8,20,116.3,12,+1.3
Charlotte,16,-0.1,32,35,47.8%,40.7,33.2,23,-1.2,11,112.6,19,112.8,12,+0.7,3,4,14,+0.6,10,116.2,18,115.6,7,+3.4
Brooklyn,17,-0.2,34,33,50.7%,40.4,33.0,13,1.0,9,113.3,24,113.5,27,-2.2,3,4,15,+0.4,6,119.2,26,118.8,8,+2.4
LA Clippers,18,-0.2,35,33,51.5%,40.4,33.5,10,1.5,26,108.8,6,109.0,17,-0.5,5,2,11,+3.4,24,109.8,2,106.4,18,-1.3
New York,19,-0.7,28,38,42.4%,39.2,31.5,26,-3.5,21,110.2,15,110.9,20,-0.9,3,4,12,+3.1,21,112.5,7,109.4,2,+10.1
San Antonio,20,-0.8,25,41,37.9%,39.0,31.4,29,-6.4,17,112.0,20,112.8,7,+1.7,2,5,23,-3.3,14,115.3,25,118.5,22,-3.0
Indiana,21,-2.3,22,45,32.8%,35.3,28.9,30,-6.9,14,112.4,26,114.7,22,-1.0,2,5,20,-1.7,11,115.9,24,117.6,16,-0.6
LA Lakers,22,-2.8,28,37,43.1%,33.8,26.8,11,1.2,24,109.4,17,112.2,29,-3.4,1,6,28,-11.1,28,106.4,23,117.5,29,-8.5
New Orleans,23,-2.8,27,39,40.9%,33.8,27.2,19,-0.2,23,109.7,18,112.5,8,+1.5,4,3,6,+7.0,12,115.4,5,108.5,1,+11.9
Washington,24,-2.9,29,35,45.3%,33.8,26.4,5,2.6,20,110.5,23,113.3,26,-1.6,2,4,17,-1.1,8,117.9,27,119.0,11,+1.6
Sacramento,25,-5.9,24,44,35.3%,26.7,22.1,9,1.9,22,109.7,29,115.6,28,-2.4,2,5,25,-4.8,23,110.2,14,114.9,19,-1.6
Portland,26,-5.9,25,40,38.5%,26.5,21.0,2,4.0,25,109.3,28,115.2,30,-3.8,0,5,30,-35.2,30,89.9,30,125.1,30,-18.3
Oklahoma City,27,-8.1,20,46,30.3%,21.2,17.0,4,3.0,30,103.5,16,111.6,15,+0.1,2,5,29,-13.8,25,108.9,29,122.7,26,-4.4
Orlando,28,-8.7,17,50,25.4%,20.2,16.5,15,0.5,29,104.3,22,112.9,14,+0.2,4,3,19,-1.5,29,104.4,1,106.0,5,+4.6
Detroit,29,-9.2,18,48,27.3%,19.3,15.5,6,2.5,28,104.7,25,113.9,21,-0.9,4,3,18,-1.2,20,113.9,16,115.1,4,+6.2
Houston,30,-9.8,17,49,25.8%,18.8,15.1,8,1.9,27,107.8,30,117.6,24,-1.5,2,6,26,-6.5,27,108.6,15,115.1,6,+4.6
