Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Average,,,35.3,35.3,,,,,,,110.9,,110.9,,,3.9,3.9,,,,113.0,,113.0,,
Milwaukee,1,+9.8,56,17,76.7%,64.1,57.1,21,-1.1,6,113.1,1,103.2,7,+1.1,3,5,12,-0.6,15,110.0,8,110.6,20,-6.6
Boston,2,+7.0,48,24,66.7%,58.0,51.0,24,-3.0,4,113.6,4,106.7,2,+2.7,5,3,3,+9.4,9,116.1,2,106.7,3,+4.5
LA Clippers,3,+6.5,49,23,68.1%,57.0,50.0,20,-1.0,2,114.2,5,107.7,8,+0.9,5,2,2,+9.6,3,120.4,9,110.8,8,+2.6
Toronto,4,+5.7,53,19,73.6%,55.5,48.8,3,4.2,16,111.0,2,105.3,1,+3.2,7,1,5,+3.2,19,106.4,1,103.2,6,+2.9
LA Lakers,5,+5.6,52,19,73.2%,55.1,47.7,2,4.3,11,112.3,3,106.7,20,-0.6,2,5,20,-7.5,21,105.6,13,113.1,22,-12.1
Dallas,6,+4.8,43,32,57.3%,52.7,48.2,29,-5.2,1,116.9,18,112.0,4,+2.1,3,5,16,-3.0,6,118.0,20,121.1,16,-2.4
Miami,7,+3.2,44,29,60.3%,49.1,43.7,16,0.3,8,112.9,9,109.7,9,+0.8,3,5,10,+0.8,12,111.7,10,110.9,9,+2.2
Houston,8,+2.7,44,28,61.1%,48.0,42.1,8,1.9,7,112.9,14,110.2,28,-1.9,4,4,15,-2.7,18,107.4,7,110.1,19,-4.7
Philadelphia,9,+2.7,43,30,58.9%,48.0,42.8,18,0.2,12,111.9,7,109.1,19,-0.5,4,4,8,+2.1,4,119.5,16,117.4,7,+2.8
Utah,10,+2.5,44,28,61.1%,47.4,41.6,7,2.4,10,112.4,11,109.9,29,-1.9,2,5,18,-5.0,14,110.2,15,115.2,15,-2.2
Indiana,11,+2.3,45,28,61.6%,47.0,41.8,6,3.2,17,110.7,6,108.4,11,+0.2,6,2,9,+1.5,16,108.7,4,107.2,5,+3.8
Denver,12,+2.1,46,27,63.0%,46.4,41.3,1,4.7,5,113.2,16,111.1,25,-1.1,3,5,17,-4.6,5,118.0,22,122.7,17,-2.8
Oklahoma City,13,+1.9,44,28,61.1%,46.0,40.4,5,3.6,15,111.1,8,109.2,5,+1.8,4,4,13,-0.9,20,106.1,3,107.0,13,-1.6
Orlando,14,-0.2,33,40,45.2%,40.6,36.1,25,-3.1,20,109.7,10,109.9,18,-0.5,3,5,6,+2.6,10,115.6,12,113.0,12,-1.1
Phoenix,15,-0.2,34,39,46.6%,40.5,36.0,22,-2.0,13,111.8,17,112.0,6,+1.3,8,0,1,+12.5,2,122.1,6,109.6,1,+10.7
New Orleans,16,-0.5,30,42,41.7%,39.6,34.8,28,-4.8,14,111.6,19,112.2,16,-0.4,2,5,21,-8.0,13,110.2,18,118.2,21,-6.6
San Antonio,17,-0.6,32,39,45.1%,39.5,34.2,23,-2.2,9,112.5,23,113.1,13,-0.3,5,3,4,+5.7,7,116.8,11,111.1,4,+3.9
Brooklyn,18,-0.7,35,37,48.6%,39.3,34.5,13,0.5,21,109.4,13,110.1,10,+0.8,5,3,14,-1.0,8,116.8,17,117.8,2,+7.5
Portland,19,-1.0,35,39,47.3%,38.5,34.8,17,0.2,3,114.0,27,115.0,24,-1.0,6,2,7,+2.1,1,123.4,21,121.3,11,+0.2
Memphis,20,-1.1,34,39,46.6%,38.1,33.9,19,0.1,23,109.3,15,110.4,3,+2.2,2,6,11,-0.4,17,107.5,5,107.9,10,+1.4
Sacramento,21,-2.8,31,41,43.1%,33.8,29.7,10,1.3,19,109.8,20,112.6,12,-0.1,3,5,19,-5.9,11,113.0,19,118.9,14,-2.0
Chicago,22,-3.4,22,43,33.8%,32.2,25.5,26,-3.5,28,106.6,12,110.0,21,-1.0,,,,,,,,,
Detroit,23,-3.8,20,46,30.3%,31.4,25.2,30,-5.2,22,109.4,24,113.2,14,-0.4,,,,,,,,,
Minnesota,24,-4.3,19,45,29.7%,30.2,23.5,27,-4.5,24,108.5,21,112.7,27,-1.4,,,,,,,,,
Washington,25,-5.3,25,47,34.7%,28.0,24.6,14,0.4,18,110.6,30,115.9,15,-0.4,1,7,22,-10.5,22,103.0,14,113.6,18,-2.9
New York,26,-6.3,21,45,31.8%,25.3,20.4,12,0.6,29,106.5,22,112.8,23,-1.0,,,,,,,,,
Charlotte,27,-7.0,23,42,35.4%,23.9,19.0,4,4.0,27,107.0,25,114.0,17,-0.5,,,,,,,,,
Atlanta,28,-7.6,20,47,29.9%,22.9,18.7,9,1.3,26,107.5,28,115.1,30,-2.6,,,,,,,,,
Cleveland,29,-7.8,19,46,29.2%,22.3,17.7,11,1.3,25,107.5,29,115.4,22,-1.0,,,,,,,,,
Golden State,30,-9.6,15,50,23.1%,18.6,14.7,15,0.3,30,104.9,26,114.5,26,-1.3,,,,,,,,,
