Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Average,,,41.0,41.0,,,,,,,105.8,,105.8,,,4.0,4.0,,,,107.3,,107.3,,
Golden State,1,+12.1,67,15,81.7%,68.2,68.2,20,-1.2,2,112.5,1,100.4,3,+1.9,6,2,13,+2.1,7,111.9,20,109.8,27,-5.3
LA Clippers,2,+7.8,56,26,68.3%,59.9,59.9,28,-3.9,1,113.2,14,105.4,7,+0.8,7,0,2,+14.1,1,117.9,11,103.8,16,+0.3
San Antonio,3,+6.9,55,27,67.1%,58.6,58.6,26,-3.6,8,108.8,2,101.8,12,+0.3,7,1,1,+18.6,2,117.5,3,98.8,3,+4.9
Atlanta,4,+6.2,60,22,73.2%,56.9,56.9,5,3.1,5,109.4,5,103.2,5,+1.7,4,3,3,+8.5,12,109.1,7,100.7,2,+6.3
Cleveland,5,+5.4,53,29,64.6%,54.7,54.7,22,-1.7,3,111.4,18,106.0,21,-0.6,5,2,17,-0.1,18,106.3,14,106.4,24,-4.5
Portland,6,+4.7,51,31,62.2%,53.2,53.2,24,-2.2,7,108.9,10,104.2,8,+0.8,3,6,15,+0.7,10,110.7,21,110.0,20,-0.9
Houston,7,+3.9,56,26,68.3%,51.3,51.3,1,4.7,11,107.6,9,103.7,13,+0.3,6,2,6,+6.4,5,112.5,13,106.1,12,+2.1
Memphis,8,+3.8,55,27,67.1%,51.2,51.2,3,3.8,13,105.9,3,102.1,16,-0.3,4,3,11,+4.6,20,104.9,6,100.3,4,+4.9
Toronto,9,+3.5,49,33,59.8%,49.9,49.9,19,-0.9,4,111.3,24,107.8,20,-0.5,5,3,9,+5.2,4,113.1,16,107.9,15,+1.0
Chicago,10,+3.1,50,32,61.0%,49.2,49.2,13,0.8,12,107.5,11,104.4,14,0.0,5,3,7,+6.1,21,104.9,2,98.8,14,+1.4
Oklahoma City,11,+3.0,45,37,54.9%,48.9,48.9,27,-3.9,10,107.9,13,105.0,18,-0.4,3,5,18,-0.4,8,111.9,25,112.4,23,-3.3
Dallas,12,+2.9,50,32,61.0%,48.6,48.6,10,1.4,6,109.2,19,106.3,22,-0.8,5,3,16,+0.4,3,113.6,26,113.2,18,-0.6
New Orleans,13,+0.8,45,37,54.9%,43.1,43.1,7,1.9,9,108.3,23,107.5,11,+0.4,6,3,12,+2.3,9,111.0,18,108.7,17,-0.5
Milwaukee,14,+0.7,41,41,50.0%,43.0,43.0,23,-2.0,24,102.9,4,102.2,4,+1.8,5,3,10,+5.2,22,104.4,4,99.2,7,+3.0
Washington,15,+0.7,46,36,56.1%,42.8,42.8,4,3.2,22,104.2,7,103.6,28,-1.5,5,3,8,+5.3,17,106.4,8,101.1,11,+2.2
Indiana,16,+0.4,38,44,46.3%,42.0,42.0,29,-4.0,23,103.8,6,103.4,9,+0.5,6,2,5,+8.0,16,106.8,1,98.8,13,+2.0
Utah,17,-0.1,38,44,46.3%,40.6,40.6,25,-2.6,15,105.5,16,105.6,1,+2.6,5,3,14,+1.9,19,105.5,10,103.6,6,+3.7
Boston,18,-0.2,40,42,48.8%,40.5,40.5,17,-0.5,18,104.8,12,105.0,2,+2.1,7,1,4,+8.3,14,107.5,5,99.2,1,+7.9
Phoenix,19,-0.2,39,43,47.6%,40.5,40.5,21,-1.5,14,105.5,17,105.7,29,-1.6,1,6,27,-10.8,29,98.9,19,109.7,21,-1.1
