Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Detroit,20,-1.7,32,50,39.0%,36.5,36.5,30,-4.5,16,105.1,20,106.8,6,+1.4,3,5,20,-1.5,15,106.8,17,108.3,9,+2.9
Miami,21,-2.6,37,45,45.1%,34.1,34.1,6,2.9,21,104.3,21,106.9,24,-1.2,3,5,24,-6.2,23,104.2,22,110.4,29,-6.5
Brooklyn,22,-2.8,38,44,46.3%,33.5,33.5,2,4.5,19,104.6,22,107.4,27,-1.4,5,4,22,-2.1,11,109.6,24,111.7,24,-4.5
Charlotte,23,-2.8,33,49,40.2%,33.1,33.1,14,-0.1,28,100.8,8,103.6,25,-1.3,2,7,26,-10.1,30,94.8,12,104.8,28,-5.7
Denver,24,-4.1,30,52,36.6%,30.1,30.1,15,-0.1,20,104.6,26,108.7,23,-1.1,2,6,23,-5.1,6,112.1,28,117.2,19,-0.9
Sacramento,25,-4.3,29,53,35.4%,29.7,29.7,18,-0.7,17,104.9,27,109.3,17,-0.3,3,6,21,-1.9,13,108.8,23,110.7,7,+3.0
Orlando,26,-6.6,25,57,30.5%,24.1,24.1,12,0.9,27,101.7,25,108.2,19,-0.5,3,5,19,-1.4,25,102.0,9,103.4,10,+2.3
LA Lakers,27,-8.6,21,61,25.6%,20.0,20.0,11,1.0,25,102.5,29,111.2,15,-0.2,1,8,30,-18.9,27,101.3,30,120.2,30,-8.7
Philadelphia,28,-10.0,18,64,22.0%,16.2,16.2,8,1.8,30,95.6,15,105.6,10,+0.4,0,7,28,-11.6,26,102.0,27,113.6,26,-5.1
Minnesota,29,-10.7,16,66,19.5%,16.3,16.3,16,-0.3,26,102.0,30,112.7,25,-1.3,0,8,29,-16.4,24,103.5,29,119.8,22,-2.3
New York,30,-11.0,17,65,20.7%,15.4,15.4,9,1.6,29,99.6,28,110.6,30,-1.8,3,5,25,-7.0,28,99.7,15,106.7,5,+4.3
