Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,110.9,,95.2,,25.9%,,80.4%,,19.3,,16.9,,111.0
Atlanta,26,107.5,25,91.6,18,25.2%,8,79.3%,14,19.5,19,16.5,8,115.0
Boston,4,113.6,11,96.8,5,28.6%,6,78.8%,10,20.3,4,18.6,24,105.7
Brooklyn,21,109.4,21,93.6,7,27.8%,19,80.9%,23,17.9,13,17.5,30,99.8
Charlotte,27,107.0,27,90.3,9,27.5%,14,80.2%,11,20.1,11,17.9,18,109.8
Chicago,28,106.6,29,89.2,14,25.9%,4,78.4%,9,20.3,16,17.2,7,115.7
Cleveland,25,107.5,26,90.6,1,29.4%,22,81.4%,8,20.3,10,17.9,14,111.1
Dallas,1,116.9,1,100.9,10,27.4%,27,82.2%,4,21.8,15,17.3,1,123.1
Denver,5,113.2,14,96.4,2,29.3%,18,80.8%,2,22.8,3,19.1,6,116.3
Detroit,22,109.4,22,93.5,12,26.8%,23,81.5%,20,19.0,12,17.5,23,106.2
Golden State,30,104.9,28,90.0,25,24.1%,25,81.8%,25,17.8,21,16.1,21,107.5
Houston,7,112.9,7,98.5,24,24.2%,21,81.3%,29,14.9,29,13.9,26,105.0
Indiana,17,110.7,13,96.5,27,23.2%,26,82.0%,21,18.3,27,14.9,3,120.7
LA Clippers,2,114.2,8,98.2,8,27.5%,7,79.3%,12,19.8,6,18.3,25,105.2
LA Lakers,11,112.3,17,94.4,11,27.3%,5,78.6%,3,22.3,2,19.2,11,113.3
Memphis,23,109.3,23,93.2,16,25.5%,3,78.3%,5,21.3,8,18.2,10,114.4
Miami,8,112.9,3,99.0,21,24.6%,29,82.8%,28,16.5,28,14.2,9,114.6
Milwaukee,6,113.1,2,99.5,29,22.8%,2,78.2%,26,17.8,23,15.8,16,110.1
Minnesota,24,108.5,20,93.6,13,26.4%,16,80.5%,18,19.1,17,17.2,19,109.2
New Orleans,14,111.6,18,94.3,4,28.6%,11,80.0%,6,20.9,5,18.4,15,110.6
New York,29,106.5,30,89.1,3,29.1%,13,80.1%,1,23.2,1,20.4,17,110.0
Oklahoma City,15,111.1,4,98.6,28,23.1%,28,82.3%,30,14.3,30,13.5,27,104.3
Orlando,20,109.7,24,93.1,19,25.1%,10,79.7%,15,19.3,14,17.5,20,107.5
Philadelphia,12,111.9,10,96.8,6,28.1%,12,80.1%,17,19.2,7,18.2,29,102.3
Phoenix,13,111.8,12,96.6,20,24.8%,15,80.3%,22,17.9,18,16.8,28,103.9
Portland,3,114.0,5,98.6,15,25.8%,24,81.8%,7,20.7,9,17.9,13,112.6
Sacramento,19,109.8,16,94.5,23,24.4%,17,80.7%,13,19.5,20,16.2,5,117.7
San Antonio,9,112.5,6,98.5,30,21.4%,20,80.9%,27,16.5,26,15.1,22,107.4
Toronto,16,111.0,15,94.5,26,23.6%,1,77.5%,24,17.8,24,15.4,12,112.8
Utah,10,112.4,9,98.0,17,25.3%,30,83.1%,16,19.3,25,15.4,2,123.0
Washington,18,110.6,19,94.0,22,24.4%,9,79.5%,19,19.1,22,15.9,4,118.1
