,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Rim,Short Mid,Long Mid,All Mid,Corner Three,Non Corner,All Three,Pts/Poss,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play
0,Average,105.8,0.499,0.157,0.29100000000000004,20.4,105.8,0.499,0.157,0.29100000000000004,20.4,2013,Average 2013,0.499,0.504,0.604,0.384,0.396,0.391,0.39,0.358,0.36700000000000005,105.8,87.4,0.294,0.802,19.0,17.5,105.5,3.7,0.141,125.4,2.1,0.5820000000000001,140.1,1.7,0.266,117.6
1,Oklahoma City,112.2,0.529,0.161,0.28600000000000003,28.6,101.7,0.47100000000000003,0.157,0.293,19.2,2013,Oklahoma City 2013,0.529,0.501,0.652,0.409,0.423,0.41700000000000004,0.423,0.36200000000000004,0.37799999999999995,112.2,93.0,0.289,0.787,20.4,18.4,108.7,5.8,0.157,135.8,2.8,0.622,147.3,2.9,0.285,129.2
2,Miami,113.4,0.557,0.152,0.252,22.6,104.2,0.494,0.171,0.309,19.9,2013,Miami 2013,0.557,0.509,0.682,0.392,0.43700000000000006,0.419,0.433,0.386,0.405,113.4,98.3,0.252,0.815,15.4,13.5,112.0,3.8,0.149,125.1,2.3,0.588,139.8,1.6,0.272,116.8
3,LA Clippers,111.5,0.529,0.16,0.315,20.4,103.7,0.496,0.177,0.294,22.9,2013,LA Clippers 2013,0.529,0.508,0.6579999999999999,0.42100000000000004,0.406,0.41200000000000003,0.387,0.353,0.365,111.5,90.9,0.327,0.78,20.6,18.5,108.5,4.7,0.171,126.1,2.9,0.636,143.5,1.8,0.294,116.9
4,San Antonio,108.0,0.531,0.154,0.23199999999999998,20.6,101.1,0.48200000000000004,0.156,0.271,18.0,2013,San Antonio 2013,0.532,0.509,0.634,0.41700000000000004,0.425,0.42100000000000004,0.41200000000000003,0.36,0.379,108.0,95.1,0.235,0.82,13.4,12.3,106.8,2.6,0.145,117.3,1.9,0.573,134.6,0.7,0.263,107.3
5,Denver,110.9,0.519,0.158,0.331,22.0,105.0,0.496,0.166,0.31,19.2,2013,Denver 2013,0.519,0.527,0.631,0.35200000000000004,0.359,0.355,0.34600000000000003,0.35600000000000004,0.353,110.9,88.0,0.332,0.752,23.7,20.8,110.0,6.2,0.185,133.0,3.2,0.674,148.5,2.9,0.354,123.6
6,Memphis,105.2,0.47600000000000003,0.156,0.337,20.4,99.7,0.478,0.174,0.28600000000000003,21.0,2013,Memphis 2013,0.47600000000000003,0.495,0.561,0.396,0.396,0.396,0.39399999999999996,0.34700000000000003,0.36200000000000004,105.2,83.7,0.335,0.7959999999999999,21.8,21.2,98.6,4.3,0.128,132.3,2.6,0.578,143.5,1.7,0.21,122.9
7,New York,111.2,0.518,0.134,0.28,19.8,105.9,0.51,0.16699999999999998,0.278,21.7,2013,New York 2013,0.518,0.516,0.588,0.366,0.409,0.396,0.384,0.384,0.384,111.2,92.9,0.281,0.8290000000000001,19.8,16.7,115.3,3.4,0.114,128.4,2.1,0.495,143.0,1.3,0.2,119.7
8,Indiana,104.4,0.48200000000000004,0.16699999999999998,0.32299999999999995,21.9,99.6,0.457,0.152,0.28600000000000003,19.8,2013,Indiana 2013,0.48200000000000004,0.5,0.593,0.382,0.37799999999999995,0.38,0.35600000000000004,0.35200000000000004,0.353,104.4,83.4,0.322,0.797,22.0,20.8,101.2,3.8,0.134,128.4,1.9,0.584,140.4,1.8,0.23399999999999999,121.6
9,Houston,109.8,0.526,0.168,0.29,23.4,106.6,0.505,0.152,0.276,19.9,2013,Houston 2013,0.526,0.532,0.613,0.35,0.368,0.358,0.39,0.36,0.369,109.8,91.9,0.301,0.773,19.1,18.2,101.4,4.2,0.177,123.1,2.3,0.6679999999999999,139.7,1.8,0.33799999999999997,114.9
10,Brooklyn,108.6,0.503,0.162,0.33299999999999996,21.8,106.3,0.508,0.15,0.284,17.2,2013,Brooklyn 2013,0.503,0.505,0.589,0.41200000000000003,0.405,0.408,0.405,0.345,0.36700000000000005,108.6,89.8,0.332,0.8190000000000001,20.4,19.9,98.7,2.7,0.111,120.8,1.8,0.496,139.8,0.8,0.20199999999999999,109.4
11,LA Lakers,108.3,0.515,0.16,0.298,24.1,106.7,0.499,0.138,0.285,16.3,2013,LA Lakers 2013,0.515,0.512,0.628,0.381,0.41200000000000003,0.39799999999999996,0.369,0.355,0.359,108.3,90.7,0.311,0.813,22.1,20.3,105.0,2.7,0.124,121.7,1.7,0.544,137.8,1.0,0.22899999999999998,112.9
12,Chicago,103.6,0.47100000000000003,0.158,0.32299999999999995,20.3,102.5,0.479,0.152,0.28600000000000003,20.5,2013,Chicago 2013,0.47200000000000003,0.496,0.59,0.345,0.371,0.361,0.34600000000000003,0.366,0.36200000000000004,103.6,83.5,0.324,0.8079999999999999,22.6,21.3,102.8,3.0,0.111,125.3,1.9,0.523,141.6,1.1,0.19699999999999998,114.3
13,Atlanta,105.3,0.523,0.158,0.242,17.3,104.4,0.499,0.16399999999999998,0.28800000000000003,18.2,2013,Atlanta 2013,0.523,0.507,0.654,0.375,0.39299999999999996,0.385,0.429,0.366,0.384,105.3,88.1,0.243,0.7829999999999999,15.2,13.3,111.9,4.7,0.17800000000000002,125.9,2.2,0.65,138.3,2.5,0.35,120.1
14,Golden State,106.2,0.51,0.16,0.27,20.0,106.0,0.491,0.14,0.276,21.2,2013,Golden State 2013,0.51,0.49,0.609,0.38299999999999995,0.414,0.401,0.46,0.39899999999999997,0.414,106.2,89.0,0.275,0.805,17.7,16.8,103.5,4.1,0.138,130.4,1.3,0.596,127.7,2.8,0.258,131.7
15,Utah,106.4,0.496,0.161,0.313,21.1,106.2,0.502,0.159,0.29,22.3,2013,Utah 2013,0.496,0.495,0.621,0.381,0.38299999999999995,0.382,0.381,0.379,0.38,106.4,86.6,0.315,0.8029999999999999,19.3,17.5,107.3,3.7,0.141,123.5,2.2,0.54,140.9,1.5,0.266,114.3
16,Boston,103.3,0.507,0.155,0.225,20.6,103.5,0.485,0.163,0.297,21.4,2013,Boston 2013,0.507,0.499,0.598,0.4,0.44,0.426,0.401,0.35,0.368,103.3,89.2,0.225,0.809,14.0,12.8,107.0,3.4,0.155,121.2,2.0,0.565,137.2,1.5,0.305,113.9
17,Dallas,106.1,0.51,0.147,0.244,19.0,106.5,0.496,0.154,0.29,22.9,2013,Dallas 2013,0.51,0.489,0.609,0.42200000000000004,0.431,0.42700000000000005,0.365,0.389,0.38299999999999995,106.1,90.4,0.244,0.797,15.0,14.4,102.2,4.2,0.153,126.6,1.8,0.557,137.4,2.3,0.3,122.0
18,Milwaukee,103.5,0.48,0.147,0.3,17.4,105.0,0.494,0.16699999999999998,0.313,20.1,2013,Milwaukee 2013,0.48,0.506,0.5660000000000001,0.349,0.379,0.36700000000000005,0.386,0.363,0.369,103.5,83.3,0.295,0.7859999999999999,21.3,19.8,103.4,4.0,0.14400000000000002,125.6,2.0,0.616,135.1,1.9,0.26899999999999996,119.4
19,Toronto,105.7,0.491,0.149,0.284,21.2,108.0,0.505,0.155,0.299,24.7,2013,Toronto 2013,0.49,0.495,0.624,0.41600000000000004,0.379,0.39399999999999996,0.35200000000000004,0.34700000000000003,0.348,105.7,87.5,0.28,0.838,17.9,14.9,117.0,3.1,0.11,126.8,2.1,0.514,151.3,1.0,0.205,113.2
20,Minnesota,102.5,0.474,0.159,0.304,22.9,105.0,0.514,0.171,0.282,18.4,2013,Minnesota 2013,0.474,0.508,0.5870000000000001,0.344,0.40399999999999997,0.382,0.36200000000000004,0.292,0.309,102.5,83.1,0.311,0.804,19.6,18.5,103.0,3.6,0.136,125.2,2.4,0.603,141.0,1.2,0.23800000000000002,114.0
21,Washington,99.7,0.47700000000000004,0.162,0.267,19.2,102.9,0.485,0.157,0.281,20.7,2013,Washington 2013,0.47700000000000004,0.49,0.588,0.39,0.37799999999999995,0.38299999999999995,0.456,0.32799999999999996,0.373,99.7,82.1,0.27399999999999997,0.807,14.5,14.9,95.6,4.3,0.147,129.7,2.1,0.565,147.0,2.2,0.285,122.6
22,Philadelphia,102.2,0.485,0.14300000000000002,0.27899999999999997,14.3,105.6,0.498,0.157,0.293,20.1,2013,Philadelphia 2013,0.485,0.493,0.586,0.40399999999999997,0.38799999999999996,0.39399999999999996,0.37799999999999995,0.36700000000000005,0.37,102.2,84.4,0.278,0.807,18.1,16.4,106.7,3.1,0.135,121.8,2.0,0.569,143.0,1.0,0.26,110.2
23,Portland,106.0,0.504,0.158,0.27899999999999997,19.3,109.5,0.514,0.142,0.28800000000000003,19.1,2013,Portland 2013,0.504,0.507,0.6,0.39899999999999997,0.401,0.401,0.39399999999999996,0.353,0.364,106.0,88.7,0.28800000000000003,0.8190000000000001,20.6,17.4,115.2,2.4,0.11699999999999999,118.7,1.7,0.555,142.2,0.8,0.23199999999999998,107.1
24,Detroit,103.3,0.489,0.16699999999999998,0.309,19.5,108.2,0.506,0.149,0.293,21.0,2013,Detroit 2013,0.489,0.515,0.584,0.35200000000000004,0.359,0.35600000000000004,0.359,0.368,0.366,103.3,83.9,0.312,0.79,20.2,19.5,100.0,3.6,0.151,121.5,2.1,0.6579999999999999,136.9,1.6,0.298,114.5
25,New Orleans,105.2,0.49200000000000005,0.16399999999999998,0.319,19.1,110.7,0.523,0.14800000000000002,0.284,21.0,2013,New Orleans 2013,0.49200000000000005,0.503,0.578,0.384,0.397,0.391,0.385,0.369,0.37200000000000005,105.2,84.7,0.32899999999999996,0.8220000000000001,24.2,20.0,117.9,3.4,0.10800000000000001,131.2,1.5,0.457,144.4,1.9,0.223,126.1
26,Sacramento,105.6,0.493,0.154,0.293,20.9,111.3,0.519,0.156,0.313,23.1,2013,Sacramento 2013,0.493,0.507,0.5920000000000001,0.385,0.36,0.37200000000000005,0.386,0.36700000000000005,0.37200000000000005,105.6,86.1,0.289,0.7809999999999999,20.3,19.0,103.2,4.4,0.155,128.5,2.3,0.684,136.1,2.2,0.305,124.3
27,Cleveland,103.7,0.474,0.153,0.313,20.0,109.7,0.525,0.16399999999999998,0.298,22.7,2013,Cleveland 2013,0.474,0.5,0.56,0.35700000000000004,0.41200000000000003,0.385,0.349,0.35600000000000004,0.355,103.7,84.6,0.322,0.812,18.5,17.2,105.2,2.7,0.128,117.7,1.8,0.5670000000000001,134.5,1.0,0.24600000000000002,108.3
28,Phoenix,101.2,0.48,0.165,0.298,17.5,107.8,0.513,0.161,0.301,20.8,2013,Phoenix 2013,0.48,0.494,0.616,0.35200000000000004,0.4,0.381,0.36700000000000005,0.325,0.337,101.2,83.2,0.297,0.7979999999999999,17.0,17.3,95.4,3.4,0.14,123.2,1.9,0.598,135.9,1.5,0.275,116.3
29,Orlando,101.4,0.486,0.156,0.28,14.7,109.8,0.51,0.133,0.284,19.6,2013,Orlando 2013,0.486,0.49700000000000005,0.601,0.424,0.379,0.39799999999999996,0.363,0.326,0.335,101.4,85.3,0.28300000000000003,0.821,18.7,17.2,105.9,1.9,0.11900000000000001,114.3,1.2,0.525,129.5,0.7,0.235,107.6
30,Charlotte,101.3,0.46299999999999997,0.154,0.295,23.2,111.7,0.528,0.153,0.307,19.9,2013,Charlotte 2013,0.46299999999999997,0.503,0.552,0.33899999999999997,0.384,0.366,0.392,0.33399999999999996,0.34700000000000003,101.3,81.0,0.297,0.79,17.0,15.7,105.0,4.5,0.159,126.7,2.1,0.589,141.7,2.4,0.344,120.4
31,Average,106.7,0.504,0.154,0.282,21.6,106.7,0.504,0.154,0.282,21.6,2014,Average 2014,0.504,0.508,0.608,0.391,0.39799999999999996,0.395,0.39,0.358,0.366,106.7,88.7,0.284,0.804,18.5,16.9,107.0,3.7,0.141,125.4,1.9,0.59,139.4,1.7,0.268,118.2
32,San Antonio,110.6,0.539,0.151,0.25,19.1,102.2,0.484,0.146,0.26,18.2,2014,San Antonio 2014,0.539,0.508,0.649,0.424,0.41,0.41600000000000004,0.40299999999999997,0.39899999999999997,0.4,110.6,94.3,0.247,0.8270000000000001,15.6,13.0,117.7,4.2,0.136,131.0,2.3,0.563,151.0,1.8,0.248,120.3
33,LA Clippers,112.2,0.526,0.14300000000000002,0.27899999999999997,26.1,105.1,0.48700000000000004,0.16,0.302,22.3,2014,LA Clippers 2014,0.526,0.51,0.677,0.39299999999999996,0.415,0.40700000000000003,0.405,0.331,0.354,112.2,92.8,0.287,0.778,18.6,16.5,109.9,5.4,0.175,130.3,3.0,0.643,149.0,2.4,0.332,120.8
34,Oklahoma City,110.8,0.522,0.158,0.28600000000000003,24.7,103.8,0.49,0.158,0.27399999999999997,22.2,2014,Oklahoma City 2014,0.522,0.507,0.635,0.409,0.428,0.42,0.35,0.37200000000000005,0.366,110.8,91.8,0.285,0.789,20.1,17.4,112.6,5.0,0.161,131.4,2.4,0.606,146.8,2.6,0.3,124.4
35,Golden State,107.9,0.523,0.155,0.27,18.6,102.0,0.47700000000000004,0.155,0.264,22.8,2014,Golden State 2014,0.523,0.507,0.621,0.402,0.413,0.40700000000000003,0.409,0.384,0.39,107.9,91.6,0.276,0.799,19.2,18.4,101.4,3.3,0.145,122.8,1.2,0.573,125.1,2.0,0.267,121.1
36,Miami,111.6,0.5589999999999999,0.161,0.23,23.0,105.8,0.513,0.182,0.303,21.4,2014,Miami 2014,0.5589999999999999,0.521,0.6809999999999999,0.46399999999999997,0.41600000000000004,0.435,0.42700000000000005,0.336,0.371,111.6,96.5,0.23399999999999999,0.816,16.9,14.0,118.5,4.1,0.14800000000000002,129.7,2.0,0.57,138.1,2.1,0.278,125.1
37,Indiana,104.4,0.49200000000000005,0.16399999999999998,0.28300000000000003,22.8,99.3,0.46299999999999997,0.14800000000000002,0.265,19.7,2014,Indiana 2014,0.49200000000000005,0.496,0.5920000000000001,0.386,0.424,0.40700000000000003,0.414,0.348,0.366,104.4,88.1,0.284,0.828,17.9,16.5,105.5,2.0,0.11900000000000001,116.2,1.3,0.541,131.4,0.7,0.20800000000000002,108.6
38,Houston,111.0,0.534,0.16699999999999998,0.297,27.7,106.2,0.491,0.14300000000000002,0.289,19.6,2014,Houston 2014,0.5329999999999999,0.532,0.626,0.4,0.36200000000000004,0.38799999999999996,0.38,0.355,0.361,111.0,90.4,0.309,0.764,21.1,18.5,111.1,5.7,0.182,131.2,2.3,0.667,144.4,3.3,0.353,126.0
39,Portland,111.6,0.505,0.141,0.308,22.1,107.3,0.491,0.125,0.27699999999999997,19.2,2014,Portland 2014,0.505,0.504,0.605,0.382,0.41100000000000003,0.39899999999999997,0.382,0.373,0.376,111.6,92.2,0.311,0.802,21.5,19.5,106.5,3.2,0.131,123.8,1.5,0.614,140.2,1.6,0.255,116.4
40,Toronto,108.9,0.501,0.153,0.301,24.0,105.1,0.495,0.161,0.28600000000000003,23.8,2014,Toronto 2014,0.501,0.502,0.606,0.40700000000000003,0.38,0.39299999999999996,0.4,0.371,0.379,108.9,88.9,0.304,0.828,19.9,17.1,113.7,3.8,0.114,133.2,1.8,0.486,150.0,2.0,0.222,126.1
41,Phoenix,109.7,0.524,0.159,0.285,22.3,106.2,0.49700000000000005,0.159,0.29100000000000004,23.6,2014,Phoenix 2014,0.524,0.513,0.626,0.385,0.41600000000000004,0.402,0.409,0.368,0.38,109.7,91.7,0.28300000000000003,0.7609999999999999,18.9,18.2,100.2,4.8,0.183,125.1,2.4,0.6729999999999999,138.2,2.4,0.366,119.1
42,Minnesota,109.2,0.49,0.141,0.307,25.4,106.0,0.521,0.16899999999999998,0.275,17.7,2014,Minnesota 2014,0.49,0.515,0.599,0.381,0.349,0.364,0.336,0.35100000000000003,0.34700000000000003,109.2,87.5,0.316,0.7759999999999999,23.1,20.3,110.3,4.8,0.158,129.4,2.6,0.6509999999999999,142.5,2.1,0.293,120.5
43,Chicago,103.3,0.47600000000000003,0.16399999999999998,0.309,22.8,100.1,0.47200000000000003,0.159,0.27399999999999997,18.9,2014,Chicago 2014,0.47600000000000003,0.506,0.564,0.348,0.391,0.375,0.38,0.355,0.361,103.3,83.6,0.308,0.8140000000000001,20.7,19.0,105.7,3.5,0.11599999999999999,131.3,1.7,0.53,137.2,1.8,0.196,127.6
44,Memphis,106.6,0.496,0.152,0.315,18.5,104.3,0.498,0.157,0.267,20.0,2014,Memphis 2014,0.496,0.49700000000000005,0.607,0.409,0.4,0.405,0.361,0.36200000000000004,0.36200000000000004,106.6,87.2,0.313,0.8240000000000001,19.4,18.6,100.7,3.7,0.113,132.7,2.1,0.522,146.2,1.6,0.19399999999999998,122.1
