Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,41.0,41.0,,0.0,,109.0,,51.7%,,14.4%,,26.2%,,21.0,,109.0,,51.7%,,14.4%,,26.2%,,21.0
Golden State,67,15,1,+12.8,1,116.8,1,57.2%,18,14.5%,21,25.3%,21,20.7,2,104.0,1,49.0%,2,15.8%,26,27.6%,11,20.1
San Antonio,61,21,2,+7.7,7,111.7,10,52.7%,13,14.1%,10,27.2%,17,21.1,1,104.0,3,49.6%,10,15.2%,8,25.7%,7,19.3
Houston,55,27,3,+5.9,2,115.0,3,54.6%,21,15.0%,15,26.9%,1,23.8,16,109.1,20,52.3%,11,15.1%,21,27.0%,6,19.3
LA Clippers,51,31,4,+4.4,5,112.6,4,53.9%,6,13.3%,24,24.4%,3,23.5,11,108.2,6,50.7%,21,13.9%,9,25.7%,14,21.2
Toronto,51,31,5,+4.4,6,112.5,14,51.9%,5,13.3%,8,27.7%,2,23.7,10,108.2,9,51.0%,9,15.3%,24,27.3%,23,22.4
Cleveland,51,31,6,+4.1,3,114.2,2,55.1%,11,14.0%,20,25.5%,20,20.7,21,110.2,18,51.8%,29,12.9%,13,26.3%,3,17.1
Utah,51,31,7,+3.8,13,109.6,8,52.9%,23,15.0%,17,25.8%,14,21.5,3,105.8,2,49.6%,27,13.2%,4,24.2%,9,19.6
Boston,53,29,8,+2.7,8,111.6,9,52.8%,7,13.7%,23,24.4%,8,22.3,15,108.8,5,50.6%,16,14.4%,27,27.8%,24,22.6
Washington,49,33,9,+1.9,9,111.3,6,53.2%,17,14.5%,13,27.0%,22,20.2,18,109.4,23,52.7%,3,15.7%,22,27.2%,15,21.4
Miami,41,41,10,+1.3,17,108.2,15,51.6%,14,14.2%,11,27.0%,29,17.7,5,106.9,4,49.8%,17,14.3%,17,26.7%,22,22.1
Denver,40,42,11,+0.8,4,113.2,5,53.2%,22,15.0%,2,30.0%,12,21.6,30,112.4,28,53.3%,30,12.1%,2,23.6%,8,19.5
Memphis,43,39,12,+0.6,18,107.7,27,49.4%,9,13.9%,7,28.1%,10,22.2,7,107.1,7,50.9%,8,15.3%,7,25.5%,29,25.7
Oklahoma City,47,35,13,+0.5,16,108.8,23,50.3%,24,15.3%,1,31.2%,11,22.1,12,108.3,16,51.5%,18,14.1%,5,24.5%,20,21.7
Indiana,42,40,14,+0.5,15,109.0,11,52.2%,15,14.3%,26,23.9%,15,21.5,14,108.6,12,51.3%,6,15.4%,25,27.3%,26,22.8
Chicago,41,41,15,+0.3,20,107.5,30,49.0%,12,14.1%,4,29.8%,19,20.9,6,107.1,8,51.0%,19,14.1%,10,25.8%,2,17.1
Milwaukee,42,40,16,-0.0,12,109.7,7,53.1%,19,14.8%,22,24.6%,18,21.1,20,109.7,21,52.3%,5,15.5%,29,27.9%,18,21.6
Charlotte,36,46,17,-0.3,14,109.3,21,50.4%,1,11.9%,27,23.0%,6,22.7,19,109.6,25,52.9%,22,13.6%,3,23.6%,1,16.6
Minnesota,31,51,18,-0.9,10,111.1,16,51.4%,20,14.8%,3,29.9%,5,22.9,26,111.9,29,53.8%,12,14.8%,23,27.3%,13,21.1
Portland,41,41,19,-1.1,11,110.4,12,52.1%,10,13.9%,16,26.0%,13,21.5,25,111.5,14,51.4%,28,13.2%,15,26.5%,28,24.4
Detroit,37,45,20,-1.4,24,106.3,26,49.6%,2,12.5%,12,27.0%,30,15.5,9,107.6,19,51.9%,23,13.4%,1,21.3%,10,19.8
Atlanta,43,39,21,-1.5,26,105.2,18,50.8%,28,16.1%,14,26.9%,16,21.5,4,106.7,11,51.1%,4,15.6%,20,26.9%,5,18.2
New Orleans,34,48,22,-1.8,25,105.6,19,50.6%,4,13.1%,29,21.3%,25,19.4,8,107.4,10,51.0%,20,14.0%,11,25.9%,4,17.9
Dallas,33,49,23,-3.4,27,105.1,20,50.6%,3,12.8%,30,19.7%,28,17.9,13,108.6,27,53.2%,1,16.1%,6,25.3%,21,21.8
