Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,41.0,41.0,,0.0,,106.6,,50.5%,,14.9%,,26.6%,,21.0,,106.6,,50.5%,,14.9%,,26.6%,,21.0
San Antonio,67,15,1,+11.8,4,110.6,2,52.9%,6,14.0%,23,25.1%,22,19.8,1,98.9,1,48.0%,10,15.9%,4,24.2%,3,18.2
Golden State,73,9,2,+11.6,1,114.9,1,56.5%,18,15.1%,22,25.5%,26,19.1,4,103.2,2,48.0%,18,14.5%,17,26.7%,15,20.6
Oklahoma City,55,27,3,+8.0,2,113.8,4,52.8%,26,16.2%,1,33.7%,4,23.4,13,105.7,5,48.7%,27,13.4%,18,26.9%,12,20.3
Cleveland,57,25,4,+7.4,3,112.0,3,52.8%,12,14.4%,8,28.3%,23,19.4,10,104.6,14,49.9%,20,14.2%,5,24.3%,13,20.3
Toronto,56,26,5,+5.1,5,110.4,13,50.7%,8,14.1%,5,28.6%,2,25.4,12,105.4,13,49.9%,19,14.2%,8,25.3%,10,20.2
LA Clippers,53,29,6,+4.8,7,108.5,5,52.7%,3,13.4%,29,22.4%,7,22.4,5,103.7,4,48.3%,8,15.9%,27,29.1%,23,22.3
Atlanta,48,34,7,+3.2,22,105.3,7,51.8%,21,15.4%,30,22.2%,27,18.8,2,102.1,3,48.2%,4,16.7%,26,29.1%,5,19.5
Boston,48,34,8,+3.0,11,106.8,23,49.1%,5,13.8%,11,27.8%,16,20.7,6,103.8,9,49.1%,3,16.7%,24,28.1%,27,23.4
Charlotte,48,34,9,+3.0,9,107.6,17,50.2%,1,13.0%,27,23.0%,8,22.0,9,104.6,11,49.7%,24,13.9%,1,23.4%,4,19.2
Miami,48,34,10,+2.3,13,106.6,12,50.7%,16,15.0%,15,26.8%,12,21.1,8,104.3,6,48.8%,25,13.8%,11,25.7%,7,19.6
Indiana,45,37,11,+1.8,26,104.7,20,49.8%,19,15.2%,20,25.8%,15,20.7,3,102.9,10,49.2%,6,16.3%,20,27.3%,17,20.7
Utah,40,42,12,+1.7,15,106.0,15,50.4%,27,16.2%,4,28.8%,11,21.3,7,104.3,12,49.8%,14,15.1%,9,25.5%,18,21.0
Detroit,44,38,13,+1.4,12,106.7,21,49.6%,7,14.1%,2,29.6%,21,19.8,11,105.3,15,50.4%,23,14.0%,3,23.7%,6,19.6
Portland,44,38,14,+0.9,6,109.0,8,51.5%,17,15.1%,10,28.3%,19,20.3,20,108.1,16,50.6%,26,13.6%,13,26.0%,26,22.5
Houston,41,41,15,+0.2,8,108.5,6,52.0%,28,16.3%,9,28.3%,3,24.5,21,108.3,22,51.8%,2,16.9%,28,29.6%,22,21.8
Dallas,42,40,16,-0.2,10,106.9,11,50.7%,2,13.3%,28,22.6%,13,20.9,17,107.1,17,50.7%,17,14.6%,15,26.6%,8,19.8
Washington,41,41,17,-0.4,18,105.7,9,51.5%,15,14.7%,25,23.6%,25,19.2,14,106.1,21,51.8%,5,16.5%,6,25.2%,19,21.7
Orlando,35,47,18,-1.2,17,105.8,14,50.6%,14,14.5%,19,26.0%,30,17.3,16,107.0,20,51.6%,11,15.6%,12,25.9%,20,21.7
Chicago,42,40,19,-1.7,24,105.1,26,48.8%,13,14.4%,12,27.7%,24,19.2,15,106.8,7,48.9%,29,12.3%,21,27.5%,2,18.2
Memphis,42,40,20,-1.8,16,105.8,29,48.0%,9,14.2%,6,28.5%,5,23.4,19,107.6,24,52.1%,1,17.3%,23,27.6%,30,25.0
New York,32,50,21,-2.3,23,105.1,27,48.8%,11,14.3%,16,26.8%,17,20.7,18,107.5,8,49.0%,30,11.9%,14,26.5%,14,20.3
Sacramento,33,49,22,-2.8,19,105.7,10,51.1%,25,16.0%,14,26.9%,10,21.5,22,108.4,25,52.4%,9,15.9%,19,26.9%,11,20.2
Milwaukee,33,49,23,-3.8,25,104.9,16,50.3%,24,16.0%,13,27.5%,14,20.8,23,108.7,19,51.3%,7,16.2%,30,29.8%,24,22.4
Denver,33,49,24,-3.9,20,105.6,24,49.0%,20,15.3%,3,29.1%,9,21.7,25,109.5,23,52.1%,22,14.0%,7,25.3%,21,21.7
Minnesota,29,53,25,-4.0,14,106.2,19,49.8%,23,15.7%,17,26.7%,1,26.2,27,110.2,28,52.7%,12,15.5%,25,28.6%,9,20.1
New Orleans,30,52,26,-4.0,21,105.5,18,50.0%,4,13.8%,24,24.0%,18,20.3,26,109.5,27,52.5%,21,14.1%,2,23.6%,25,22.5
