Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,33.1,33.1,,0.0,,111.4,,53.1%,,14.0%,,26.1%,,19.0,,111.4,,53.1%,,14.0%,,26.1%,,19.0
Phoenix,53,13,1,+8.8,2,115.4,3,55.2%,3,12.7%,22,24.5%,23,18.0,1,106.6,2,51.0%,6,14.8%,17,26.0%,11,18.1
Utah,41,24,2,+7.6,1,117.5,1,56.2%,19,14.4%,4,28.2%,2,20.6,9,109.9,8,52.2%,29,12.4%,9,25.2%,1,15.4
Golden State,45,22,3,+5.7,13,112.6,2,55.3%,29,15.3%,15,25.7%,25,17.8,3,106.9,5,51.4%,4,15.3%,11,25.6%,21,20.0
Miami,44,23,4,+5.5,8,113.5,7,54.5%,27,15.0%,8,27.1%,6,20.2,5,108.1,10,52.4%,3,15.7%,8,25.1%,23,20.3
Boston,40,27,5,+5.4,16,112.1,19,53.0%,15,14.0%,11,26.4%,8,19.9,2,106.6,1,50.2%,11,14.4%,20,26.6%,12,18.3
Memphis,45,22,6,+5.2,5,114.9,23,52.4%,8,13.1%,1,32.6%,20,18.5,8,109.6,13,52.7%,5,15.0%,14,25.9%,13,18.8
Milwaukee,42,25,7,+4.6,3,115.2,6,54.8%,10,13.3%,14,25.8%,10,19.8,12,110.5,16,53.2%,24,13.3%,2,24.1%,3,16.4
Minnesota,38,29,8,+3.7,7,113.9,9,53.8%,18,14.3%,6,28.1%,17,18.8,11,110.2,14,53.1%,2,16.5%,30,28.2%,30,23.2
Cleveland,38,27,9,+3.2,19,111.0,11,53.6%,28,15.2%,10,26.6%,12,19.5,4,107.8,4,51.3%,10,14.4%,19,26.5%,2,16.0
Dallas,40,26,10,+3.2,15,112.3,14,53.4%,4,12.8%,23,24.5%,19,18.6,7,109.1,9,52.3%,12,14.2%,10,25.3%,10,18.0
Philadelphia,40,25,11,+2.7,12,112.6,17,53.2%,5,12.9%,30,22.8%,1,22.5,10,110.0,6,52.0%,16,13.7%,18,26.4%,14,18.9
Denver,40,27,12,+2.6,10,113.2,4,55.2%,24,14.7%,21,25.0%,18,18.7,13,110.6,17,53.4%,23,13.3%,1,23.1%,9,17.8
Chicago,40,26,13,+1.4,6,114.3,5,54.9%,6,13.0%,29,23.3%,9,19.9,21,112.8,21,53.7%,22,13.3%,7,25.1%,17,19.4
Toronto,35,30,14,+1.3,18,112.0,27,51.0%,9,13.1%,2,30.7%,26,17.7,14,110.7,20,53.7%,1,16.5%,29,28.1%,25,20.4
Atlanta,31,34,15,+0.3,4,115.0,8,54.2%,1,12.2%,17,25.7%,4,20.4,27,114.7,26,54.5%,28,12.6%,6,25.0%,7,17.6
Charlotte,32,35,16,-0.1,11,112.6,12,53.5%,7,13.0%,16,25.7%,27,17.6,19,112.8,25,54.4%,8,14.8%,23,27.5%,16,19.0
Brooklyn,34,33,17,-0.2,9,113.3,10,53.7%,14,13.9%,12,26.2%,14,19.4,24,113.5,11,52.5%,25,13.2%,27,27.9%,22,20.1
LA Clippers,35,33,18,-0.2,26,108.8,20,52.9%,20,14.5%,26,24.1%,28,17.1,6,109.0,3,51.2%,14,13.9%,25,27.6%,5,16.5
New York,28,38,19,-0.7,21,110.2,26,51.3%,13,13.9%,7,27.9%,5,20.3,15,110.9,7,52.1%,27,13.0%,5,24.8%,20,20.0
San Antonio,25,41,20,-0.8,17,112.0,21,52.8%,2,12.6%,9,26.8%,30,15.0,20,112.8,19,53.6%,17,13.7%,26,27.7%,6,17.5
Indiana,22,45,21,-2.3,14,112.4,16,53.3%,23,14.7%,3,29.2%,22,18.4,26,114.7,23,54.0%,26,13.0%,15,26.0%,28,20.9
LA Lakers,28,37,22,-2.8,24,109.4,13,53.4%,21,14.6%,24,24.2%,21,18.4,17,112.2,22,53.8%,9,14.4%,21,26.9%,15,19.0
New Orleans,27,39,23,-2.8,23,109.7,25,51.6%,25,14.8%,5,28.1%,7,20.1,18,112.5,24,54.1%,13,14.0%,4,24.8%,19,19.9
