Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,41.0,41.0,,0.0,,108.4,,52.4%,,14.6%,,25.4%,,19.4,,108.4,,52.4%,,14.6%,,25.4%,,19.4
Houston,65,17,1,+9.0,1,114.8,2,55.7%,10,14.1%,24,24.1%,1,23.7,6,105.8,14,52.4%,11,15.0%,5,23.8%,4,17.1
Toronto,59,23,2,+7.9,3,113.5,6,54.1%,5,13.7%,10,26.3%,10,20.2,5,105.6,3,50.4%,13,14.6%,19,25.9%,24,21.1
Golden State,58,24,3,+7.2,2,113.9,1,57.5%,24,15.3%,28,22.9%,16,19.6,9,106.7,4,50.6%,17,14.4%,29,27.5%,10,18.5
Philadelphia,52,30,4,+5.2,9,109.6,5,54.2%,30,16.5%,3,27.7%,11,20.1,3,104.4,1,49.5%,18,14.3%,11,25.0%,28,21.9
Utah,48,34,5,+4.3,16,107.9,9,53.0%,25,15.4%,21,24.4%,9,20.3,2,103.6,6,50.9%,5,15.5%,3,23.3%,15,19.0
Boston,55,27,6,+4.1,18,107.5,16,52.1%,14,14.3%,20,24.4%,20,18.8,1,103.4,2,49.7%,12,14.7%,12,25.1%,14,19.0
Oklahoma City,48,34,7,+3.2,7,110.2,17,51.8%,12,14.2%,1,30.4%,14,19.7,10,107.0,19,53.0%,1,16.5%,18,25.8%,19,19.4
Minnesota,47,35,8,+2.6,4,113.3,13,52.6%,2,12.9%,6,27.3%,3,22.8,23,110.7,26,54.1%,4,15.6%,24,26.6%,12,18.7
San Antonio,47,35,9,+2.5,17,107.7,26,50.9%,4,13.6%,8,26.6%,19,18.9,4,105.2,8,51.3%,15,14.6%,8,24.5%,3,17.0
Portland,49,33,10,+2.1,15,108.4,25,51.1%,7,13.8%,7,26.8%,17,19.2,7,106.3,5,50.7%,29,13.1%,6,24.1%,18,19.3
New Orleans,48,34,11,+2.1,11,109.3,4,54.7%,16,14.6%,29,22.7%,21,18.4,11,107.2,9,51.3%,20,14.1%,17,25.8%,8,17.4
Indiana,48,34,12,+1.9,13,109.3,10,52.8%,6,13.8%,14,25.6%,24,17.4,12,107.4,16,52.8%,2,16.2%,23,26.4%,6,17.3
Denver,46,36,13,+1.6,6,112.1,7,53.9%,23,15.3%,2,28.8%,13,19.8,21,110.5,27,54.2%,22,14.1%,10,24.9%,7,17.3
Washington,43,39,14,+0.8,14,108.6,12,52.7%,18,14.9%,11,26.2%,15,19.6,15,107.8,12,52.3%,9,15.4%,15,25.4%,26,21.4
Cleveland,50,32,15,+0.7,5,112.7,3,54.9%,9,13.9%,26,23.3%,6,21.5,29,112.0,30,54.5%,25,13.6%,13,25.3%,2,16.6
Miami,44,38,16,+0.6,20,107.0,14,52.4%,19,14.9%,17,24.8%,25,17.2,8,106.4,7,51.1%,14,14.6%,7,24.3%,27,21.8
Charlotte,36,46,17,+0.2,10,109.3,24,51.2%,3,12.9%,16,25.5%,2,23.4,17,109.1,23,53.6%,24,13.8%,2,22.5%,1,16.4
LA Clippers,42,40,18,-0.2,8,109.8,11,52.7%,20,15.0%,5,27.4%,4,22.3,19,110.0,13,52.4%,21,14.1%,25,26.8%,22,20.3
Detroit,39,43,19,-0.3,19,107.2,21,51.4%,8,13.8%,15,25.5%,27,16.9,13,107.4,17,52.8%,7,15.4%,9,24.7%,5,17.3
Milwaukee,44,38,20,-0.3,12,109.3,8,53.4%,11,14.2%,27,23.0%,5,22.0,18,109.6,20,53.0%,3,16.1%,30,27.7%,29,22.0
LA Lakers,35,47,21,-1.2,23,106.5,15,52.1%,26,15.5%,9,26.5%,18,19.1,14,107.7,10,51.7%,23,14.0%,16,25.7%,16,19.1
Dallas,24,58,22,-3.2,24,105.9,19,51.6%,1,12.7%,30,20.8%,28,16.6,16,109.1,24,53.7%,19,14.2%,4,23.7%,17,19.3
Brooklyn,28,54,23,-3.9,22,106.8,18,51.6%,22,15.1%,22,24.3%,12,19.9,22,110.7,11,51.8%,30,12.4%,21,25.9%,20,20.2
New York,29,53,24,-4.1,21,106.9,20,51.5%,21,15.0%,4,27.7%,26,17.0,25,111.0,15,52.7%,27,13.5%,20,25.9%,23,20.9
Orlando,25,57,25,-5.0,25,105.3,22,51.4%,17,14.8%,25,23.4%,23,18.1,20,110.3,18,52.9%,16,14.5%,27,27.2%,13,18.7
Memphis,22,60,26,-6.4,27,104.5,28,50.4%,28,15.8%,13,25.8%,7,20.3,24,110.9,21,53.1%,8,15.4%,26,26.8%,30,25.8
Atlanta,24,58,27,-6.6,26,104.5,23,51.4%,29,15.9%,18,24.6%,22,18.2,26,111.1,25,54.0%,6,15.4%,28,27.5%,9,18.5
Chicago,27,55,28,-7.4,28,103.8,29,49.8%,13,14.3%,23,24.1%,29,16.3,27,111.2,29,54.4%,26,13.6%,1,22.1%,11,18.7
Sacramento,27,55,29,-7.7,29,103.5,27,50.5%,15,14.5%,19,24.5%,30,14.1,28,111.2,28,54.4%,10,15.0%,14,25.3%,21,20.2
Phoenix,21,61,30,-9.8,30,103.1,30,49.7%,27,15.8%,12,26.0%,8,20.3,30,112.9,22,53.5%,28,13.3%,22,26.2%,25,21.4
