Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,41.0,41.0,,0.0,,110.6,,52.7%,,14.0%,,25.9%,,19.9,,110.6,,52.7%,,14.0%,,25.9%,,19.9
Milwaukee,60,22,1,+9.1,3,114.9,2,55.4%,6,13.2%,26,23.8%,15,19.9,2,105.8,2,50.7%,24,13.0%,3,22.9%,1,16.1
Golden State,57,25,2,+7.9,1,116.5,1,57.1%,16,14.0%,23,24.6%,21,18.7,9,108.7,3,50.9%,19,13.3%,17,26.0%,19,20.2
Utah,50,32,3,+6.7,14,111.4,5,54.2%,26,15.0%,12,26.2%,4,22.0,1,104.7,1,50.6%,17,13.7%,1,22.7%,7,18.6
Toronto,58,24,4,+6.1,6,113.5,3,54.6%,11,13.7%,22,24.6%,14,20.0,5,107.3,4,51.1%,9,15.0%,18,26.3%,8,18.8
Houston,53,29,5,+4.8,2,115.5,4,54.5%,8,13.4%,19,25.4%,3,22.1,17,110.8,18,52.6%,7,15.3%,29,28.8%,25,20.8
Portland,53,29,6,+4.4,4,114.8,14,53.1%,10,13.6%,2,29.6%,7,21.2,16,110.4,12,52.0%,30,12.4%,7,24.5%,16,19.6
Boston,49,33,7,+4.2,10,112.1,7,53.7%,3,12.8%,24,24.4%,29,17.3,7,107.9,11,51.9%,8,15.2%,15,26.0%,17,20.0
Oklahoma City,49,33,8,+3.7,16,110.5,21,51.8%,7,13.3%,3,28.5%,19,19.1,3,106.7,16,52.6%,2,16.1%,9,24.8%,22,20.6
Denver,54,28,9,+3.6,7,112.9,12,53.1%,13,13.8%,1,29.7%,26,17.7,11,109.3,15,52.4%,16,13.7%,8,24.7%,15,19.5
Indiana,48,34,10,+2.9,18,110.0,13,53.1%,14,13.9%,16,25.5%,23,18.4,4,107.1,13,52.2%,1,16.2%,22,26.6%,5,18.2
Philadelphia,51,31,11,+2.6,9,112.2,8,53.5%,25,14.8%,11,26.8%,2,24.4,13,109.6,6,51.5%,28,12.4%,6,24.4%,21,20.5
San Antonio,48,34,12,+2.0,5,113.5,6,53.8%,1,12.0%,30,22.8%,18,19.4,20,111.5,20,53.2%,29,12.4%,5,24.2%,2,17.4
Orlando,42,40,13,+0.9,22,109.4,20,52.3%,9,13.5%,21,24.8%,30,16.8,8,108.4,10,51.9%,20,13.2%,2,22.8%,6,18.5
LA Clippers,48,34,14,+0.7,8,112.4,10,53.3%,17,14.1%,20,25.1%,1,25.9,21,111.7,9,51.8%,27,12.7%,21,26.5%,27,22.6
Detroit,41,41,15,+0.2,21,109.5,26,51.4%,19,14.2%,6,27.5%,16,19.7,12,109.3,19,52.9%,12,14.4%,4,24.1%,26,21.0
Brooklyn,42,40,16,-0.2,20,109.7,17,52.4%,24,14.7%,10,26.9%,6,21.3,15,109.9,7,51.6%,21,13.2%,24,26.8%,11,19.3
Miami,39,43,17,-0.2,26,107.6,24,51.6%,27,15.1%,4,28.1%,28,17.3,6,107.8,5,51.2%,11,14.4%,13,25.8%,20,20.3
Sacramento,39,43,18,-0.8,17,110.1,16,52.6%,4,12.9%,14,25.6%,27,17.7,18,110.9,21,53.4%,4,15.4%,26,27.4%,23,20.7
Charlotte,39,43,19,-0.9,11,111.9,23,51.7%,2,12.2%,17,25.5%,10,20.6,23,112.8,25,54.0%,15,13.7%,12,25.7%,3,18.0
New Orleans,33,49,20,-1.2,12,111.6,11,53.2%,21,14.3%,8,27.1%,17,19.5,22,112.8,22,53.4%,23,13.0%,16,26.0%,12,19.3
Dallas,33,49,21,-1.6,19,109.9,18,52.3%,20,14.2%,15,25.6%,5,21.8,19,111.5,17,52.6%,25,12.9%,10,25.4%,13,19.4
LA Lakers,37,45,22,-1.6,23,108.3,15,53.0%,28,15.1%,13,25.7%,25,18.0,14,109.8,8,51.8%,14,13.7%,20,26.4%,14,19.4
Minnesota,36,46,23,-1.7,13,111.5,25,51.5%,5,13.2%,5,28.0%,8,21.1,24,113.2,24,54.0%,10,14.6%,27,28.0%,10,19.0
Washington,32,50,24,-2.9,15,111.0,9,53.4%,12,13.7%,25,24.2%,11,20.4,26,113.9,29,55.1%,6,15.3%,28,28.3%,18,20.1
Memphis,33,49,25,-3.1,27,106.1,27,51.1%,23,14.3%,28,23.1%,9,20.9,10,109.2,14,52.4%,3,15.6%,19,26.3%,28,23.6
Atlanta,29,53,26,-6.8,25,107.7,19,52.3%,30,16.4%,7,27.2%,20,19.0,27,114.5,27,54.7%,13,14.2%,23,26.7%,29,23.8
Chicago,22,60,27,-8.8,29,104.9,28,50.6%,22,14.3%,29,22.8%,24,18.3,25,113.7,26,54.5%,18,13.3%,11,25.6%,9,18.9
Phoenix,19,63,28,-9.5,28,105.7,22,51.7%,29,15.4%,27,23.3%,13,20.1,29,115.2,28,54.9%,5,15.4%,30,30.2%,30,23.8
Cleveland,19,63,29,-9.9,24,107.8,29,50.5%,15,14.0%,9,27.1%,22,18.5,30,117.7,30,56.5%,26,12.9%,14,25.8%,4,18.1
New York,17,65,30,-10.6,30,104.2,30,49.0%,18,14.1%,18,25.5%,12,20.2,28,114.7,23,53.7%,22,13.1%,25,27.1%,24,20.8
