Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,109.0,,92.6,,26.6%,,79.9%,,17.7,,15.9,,108.8
Atlanta,26,105.2,23,89.5,9,28.2%,14,79.5%,5,19.9,8,17.5,14,111.1
Boston,8,111.6,4,97.0,23,24.6%,21,80.9%,27,14.8,24,14.1,25,102.8
Brooklyn,29,103.6,24,89.2,28,22.4%,15,79.9%,24,15.4,26,13.5,10,112.2
Charlotte,14,109.3,9,94.8,27,23.6%,28,83.1%,28,14.8,28,12.7,5,113.8
Chicago,20,107.5,27,88.2,4,30.1%,6,77.8%,4,20.2,6,18.0,19,109.7
Cleveland,3,114.2,2,99.5,19,26.0%,11,79.1%,25,15.2,22,14.4,24,103.2
Dallas,27,105.1,14,93.3,30,19.8%,30,86.5%,30,11.4,30,9.8,2,114.7
Denver,4,113.2,6,95.5,3,30.6%,9,78.6%,3,22.2,1,19.6,20,108.9
Detroit,24,106.3,26,88.5,14,27.7%,8,78.2%,11,18.7,9,17.4,22,105.3
Golden State,1,116.8,1,100.6,21,25.3%,2,76.0%,19,17.4,19,15.3,15,110.6
Houston,2,115.0,3,97.9,12,27.9%,4,77.0%,13,18.3,15,16.3,17,109.9
Indiana,15,109.0,8,94.9,26,24.2%,27,82.5%,23,15.8,27,13.5,1,114.9
LA Clippers,5,112.6,5,96.6,20,25.8%,12,79.3%,20,16.7,21,14.9,16,110.3
LA Lakers,23,106.4,28,87.1,8,28.2%,5,77.3%,8,19.5,10,17.1,12,111.9
Memphis,18,107.7,20,90.8,7,28.6%,26,82.4%,9,19.4,7,17.7,21,106.1
Miami,17,108.2,21,90.2,11,28.1%,20,80.6%,10,18.9,14,16.3,6,113.7
Milwaukee,12,109.7,16,93.2,22,25.1%,17,80.1%,18,17.4,20,15.2,13,111.8
Minnesota,10,111.1,17,92.4,2,30.8%,18,80.1%,2,22.2,3,19.2,9,112.4
New Orleans,25,105.6,18,92.2,29,21.0%,23,81.3%,29,14.6,29,12.5,3,114.6
New York,19,107.7,19,90.9,6,28.7%,13,79.4%,6,19.6,4,18.7,29,100.8
Oklahoma City,16,108.8,22,90.1,1,31.0%,3,76.5%,12,18.7,5,18.1,30,100.0
Orlando,28,104.9,25,88.7,24,24.4%,10,78.9%,26,14.8,25,14.0,27,102.4
Philadelphia,30,102.8,29,86.7,17,26.5%,16,80.1%,16,17.6,17,15.5,11,111.9
Phoenix,22,106.5,30,86.2,5,29.3%,1,75.2%,1,22.8,2,19.6,8,112.5
Portland,11,110.4,11,94.7,16,27.0%,24,81.4%,15,17.8,12,16.6,23,104.9
Sacramento,21,107.1,15,93.3,25,24.4%,25,82.1%,22,15.8,23,14.1,18,109.8
San Antonio,7,111.7,10,94.8,15,27.4%,22,81.1%,14,18.1,16,15.5,4,114.0
Toronto,6,112.5,7,95.3,10,28.2%,19,80.5%,17,17.5,13,16.5,26,102.6
Utah,13,109.6,12,94.1,18,26.5%,29,84.9%,21,16.0,18,15.4,28,101.2
Washington,9,111.3,13,93.8,13,27.8%,7,78.0%,7,19.6,11,16.9,7,113.1
