Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,108.4,,2.8,,15.3%,,120.7,,1.6,,61.2%,,133.7,,1.2,,28.8%,,114.5
Atlanta,26,104.5,18,2.6,26,13.7%,15,121.2,7,2.0,24,57.8%,1,146.1,27,0.6,22,26.4%,27,107.4
Boston,18,107.5,24,2.0,21,14.1%,25,115.4,26,1.3,14,61.1%,27,125.4,26,0.6,25,25.1%,25,108.9
Brooklyn,22,106.8,28,1.7,20,14.3%,27,113.7,27,1.2,4,67.1%,21,131.3,28,0.4,18,28.0%,28,105.8
Charlotte,10,109.3,5,3.5,18,14.5%,5,126.6,19,1.5,20,59.3%,13,134.8,2,2.1,19,27.8%,2,124.2
Chicago,28,103.8,25,1.9,10,15.9%,26,114.6,29,1.1,6,65.7%,30,122.6,25,0.7,14,28.7%,26,108.8
Cleveland,5,112.7,9,3.3,6,16.6%,8,123.7,13,1.6,18,59.4%,4,140.7,8,1.6,4,34.5%,11,116.1
Dallas,24,105.9,30,1.4,29,11.9%,28,113.6,25,1.3,29,53.8%,14,133.0,30,0.0,28,21.8%,30,103.4
Denver,6,112.1,3,3.8,12,15.6%,4,127.8,3,2.1,8,64.0%,3,142.4,5,1.7,12,29.3%,5,120.9
Detroit,19,107.2,10,3.3,8,16.2%,12,122.2,10,1.8,17,59.6%,6,139.0,9,1.5,7,32.0%,12,115.7
Golden State,2,113.9,4,3.8,1,20.3%,10,122.5,18,1.5,11,62.0%,15,132.2,1,2.3,1,41.5%,6,119.7
Houston,1,114.8,2,3.9,11,15.8%,1,129.1,9,1.8,28,56.2%,7,137.7,3,2.0,15,28.7%,1,125.6
Indiana,13,109.3,1,4.1,9,16.1%,3,128.1,1,2.3,5,67.0%,9,136.9,4,1.7,16,28.3%,4,121.6
LA Clippers,8,109.8,27,1.8,13,15.6%,29,113.3,28,1.1,13,61.5%,29,123.8,24,0.7,8,30.4%,24,109.4
LA Lakers,23,106.5,13,3.1,2,18.6%,21,118.5,8,1.9,1,69.5%,8,137.1,15,1.2,2,36.1%,22,111.2
Memphis,27,104.5,23,2.3,23,14.0%,20,119.2,22,1.4,15,60.8%,26,129.7,23,0.7,20,27.1%,21,111.8
Miami,20,107.0,22,2.3,24,13.9%,23,117.5,21,1.4,26,57.1%,17,131.8,21,0.9,24,25.8%,23,110.4
Milwaukee,12,109.3,6,3.4,3,18.4%,14,121.3,4,2.1,2,68.7%,10,135.4,10,1.4,3,35.1%,13,114.9
Minnesota,4,113.3,12,3.1,27,12.6%,2,128.4,2,2.1,23,58.2%,2,143.4,19,1.0,27,21.9%,9,117.6
New Orleans,11,109.3,17,2.7,14,15.5%,13,121.5,23,1.4,19,59.3%,23,131.0,14,1.3,11,29.4%,10,117.6
New York,21,106.9,20,2.6,25,13.7%,19,119.6,24,1.3,12,61.9%,22,131.0,16,1.2,21,26.5%,17,114.5
Oklahoma City,7,110.2,15,3.0,4,18.2%,24,116.8,6,2.0,7,64.8%,24,130.5,17,1.2,5,34.4%,20,112.2
Orlando,25,105.3,16,2.8,17,15.1%,18,120.3,15,1.6,16,60.7%,19,131.6,13,1.3,9,29.9%,15,114.8
Philadelphia,9,109.6,14,3.0,7,16.5%,17,120.3,11,1.6,10,63.3%,16,132.0,11,1.4,10,29.7%,14,114.8
Phoenix,30,103.1,29,1.7,5,17.1%,30,111.9,17,1.5,3,67.4%,20,131.5,29,0.3,6,34.2%,29,105.3
Portland,15,108.4,26,1.9,30,11.9%,22,117.7,30,1.0,27,56.7%,28,123.9,22,0.8,30,20.6%,19,112.5
Sacramento,29,103.5,19,2.6,22,14.0%,16,120.5,16,1.5,21,58.8%,25,130.4,18,1.0,23,26.2%,16,114.7
San Antonio,17,107.7,21,2.4,28,12.1%,11,122.5,20,1.4,30,52.2%,11,135.1,20,0.9,29,21.5%,18,114.3
Toronto,3,113.5,8,3.4,16,15.2%,9,123.6,14,1.6,25,57.5%,12,134.9,6,1.6,13,29.0%,8,118.3
Utah,16,107.9,11,3.2,19,14.3%,6,125.7,12,1.6,22,58.5%,18,131.7,7,1.6,26,24.7%,3,122.5
Washington,14,108.6,7,3.4,15,15.3%,7,125.3,5,2.0,9,63.8%,5,139.6,12,1.4,17,28.2%,7,118.4
