Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,110.6,,2.6,,15.3%,,122.7,,1.5,,63.9%,,134.2,,1.1,,28.8%,,117.4
Atlanta,25,107.7,23,2.2,6,17.5%,24,117.6,30,0.9,3,71.3%,30,119.4,12,1.2,4,34.7%,20,116.3
Boston,10,112.1,5,3.4,9,16.1%,5,127.6,2,2.1,4,70.1%,3,140.9,17,1.1,15,28.0%,15,117.4
Brooklyn,20,109.7,24,2.0,17,14.6%,27,117.3,29,1.0,16,64.0%,29,125.6,20,1.0,13,28.8%,22,113.8
Charlotte,11,111.9,11,2.8,16,14.9%,11,124.3,10,1.6,18,62.0%,6,139.7,14,1.1,12,29.3%,19,116.6
Chicago,29,104.9,25,2.0,22,13.7%,22,120.3,12,1.6,15,64.3%,8,137.7,27,0.5,26,24.6%,27,111.2
Cleveland,24,107.8,13,2.6,23,13.5%,15,123.8,18,1.4,19,61.8%,13,135.4,9,1.4,16,27.8%,9,119.7
Dallas,19,109.9,29,1.5,28,13.2%,29,114.7,25,1.2,21,60.9%,21,131.4,30,0.3,24,25.1%,29,107.4
Denver,7,112.9,20,2.4,12,15.2%,21,121.3,19,1.4,14,64.6%,25,129.6,16,1.1,17,27.7%,17,117.3
Detroit,21,109.5,21,2.3,25,13.5%,19,122.4,20,1.3,26,58.2%,15,135.0,15,1.1,20,26.1%,16,117.3
Golden State,1,116.5,4,3.5,11,15.9%,3,128.5,13,1.5,24,58.6%,4,140.4,3,2.0,10,30.8%,3,124.9
Houston,2,115.5,12,2.8,18,14.2%,10,124.6,21,1.3,27,57.7%,22,130.6,10,1.3,18,26.2%,8,120.7
Indiana,18,110.0,7,3.0,15,15.0%,14,123.9,4,1.9,11,65.8%,19,133.9,18,1.0,23,25.5%,18,116.7
LA Clippers,8,112.4,8,3.0,13,15.2%,12,124.1,17,1.4,9,66.7%,14,135.3,6,1.5,11,29.7%,10,119.7
LA Lakers,23,108.3,16,2.6,3,18.9%,23,118.6,5,1.7,2,71.8%,17,134.1,22,0.9,2,37.1%,24,112.9
Memphis,27,106.1,26,2.0,27,13.3%,20,121.5,22,1.2,29,56.0%,27,129.3,23,0.8,27,24.1%,13,117.8
Miami,26,107.6,30,1.5,20,14.0%,30,114.4,27,1.1,28,56.1%,28,128.9,29,0.4,21,26.0%,30,107.3
Milwaukee,3,114.9,3,3.7,4,18.5%,8,126.2,6,1.7,10,66.2%,7,138.1,2,2.0,6,34.2%,5,122.2
Minnesota,13,111.5,9,2.8,26,13.4%,7,127.2,14,1.5,23,60.6%,18,134.0,8,1.4,28,24.0%,4,124.7
New Orleans,12,111.6,28,1.6,14,15.1%,28,115.5,24,1.2,17,63.5%,26,129.4,28,0.4,14,28.7%,28,108.9
New York,30,104.2,27,1.8,21,13.8%,25,117.5,23,1.2,12,65.7%,23,130.4,25,0.7,19,26.2%,26,112.7
Oklahoma City,16,110.5,15,2.6,2,19.4%,26,117.5,9,1.6,5,68.3%,24,130.2,13,1.1,3,35.8%,23,113.2
Orlando,22,109.4,22,2.2,24,13.5%,13,124.1,26,1.2,25,58.3%,10,136.4,21,1.0,22,25.9%,12,118.1
Philadelphia,9,112.2,10,2.8,8,16.3%,17,122.7,11,1.6,8,67.1%,11,136.2,11,1.2,9,31.0%,14,117.6
Phoenix,28,105.7,17,2.5,10,16.1%,18,122.5,8,1.7,6,68.1%,16,134.4,26,0.7,8,31.5%,25,112.7
Portland,4,114.8,14,2.6,29,12.1%,6,127.3,15,1.4,22,60.6%,2,140.9,19,1.0,30,21.6%,11,119.1
Sacramento,17,110.1,2,4.2,1,19.6%,4,127.6,1,2.3,1,73.5%,1,144.7,4,1.8,1,38.3%,7,120.7
San Antonio,5,113.5,18,2.5,30,11.5%,2,129.4,28,1.0,30,54.8%,12,136.1,7,1.5,29,21.8%,2,126.9
Toronto,6,113.5,1,4.7,5,18.2%,1,132.2,3,2.1,7,68.0%,5,140.2,1,2.7,5,34.2%,1,129.1
Utah,14,111.4,19,2.4,19,14.2%,16,123.2,7,1.7,20,61.3%,9,136.9,24,0.7,25,24.8%,21,115.2
Washington,15,111.0,6,3.1,7,16.5%,9,124.7,16,1.4,13,65.1%,20,132.3,5,1.6,7,32.5%,6,121.5
