Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,105.8,,88.0,,28.4%,,80.5%,,18.5,,16.7,,107.5
Atlanta,5,109.4,5,93.0,29,25.7%,19,81.3%,28,14.8,30,12.8,6,113.1
Boston,18,104.8,16,86.7,22,27.4%,8,79.4%,13,19.2,16,16.7,8,111.8
Brooklyn,19,104.6,10,89.2,24,26.9%,27,83.2%,22,17.0,19,16.3,28,101.7
Charlotte,28,100.8,24,85.0,28,25.9%,30,84.4%,29,14.2,28,13.2,18,105.3
Chicago,12,107.5,11,88.8,9,29.8%,15,80.5%,5,20.5,6,18.8,17,105.5
Cleveland,3,111.4,6,92.6,2,31.6%,14,80.2%,16,18.6,9,17.7,26,102.2
Dallas,6,109.2,8,92.0,27,26.0%,16,80.6%,19,17.4,25,15.0,5,113.3
Denver,20,104.6,22,85.2,10,29.0%,5,77.6%,7,20.2,5,18.8,22,104.2
Detroit,16,105.1,25,84.6,4,31.1%,6,78.2%,3,21.8,2,19.6,12,108.0
Golden State,2,112.5,3,94.6,25,26.7%,3,76.7%,15,18.9,11,17.3,14,106.2
Houston,11,107.6,12,88.5,12,28.7%,1,75.9%,24,16.7,18,16.4,30,99.2
Indiana,23,103.8,18,86.4,15,27.8%,26,83.1%,23,16.8,23,15.3,13,107.2
LA Clippers,1,113.2,1,95.5,16,27.8%,11,79.9%,14,18.9,20,16.2,4,114.6
LA Lakers,25,102.5,28,83.7,13,28.2%,18,81.3%,9,19.9,10,17.6,10,110.2
Memphis,13,105.9,13,88.4,18,27.5%,23,82.1%,20,17.2,22,15.9,16,105.7
Miami,21,104.3,14,88.2,17,27.7%,25,82.6%,21,17.2,26,14.9,7,113.1
Milwaukee,24,102.9,23,85.2,19,27.5%,10,79.8%,25,16.5,21,16.0,29,100.4
Minnesota,26,102.0,29,83.3,7,30.0%,13,80.1%,10,19.6,8,18.0,19,105.2
New Orleans,9,108.3,9,90.7,5,31.0%,21,81.6%,12,19.4,7,18.1,20,105.1
New York,29,99.6,26,84.3,21,27.4%,29,84.4%,26,16.2,24,15.3,24,103.1
Oklahoma City,10,107.9,17,86.7,3,31.4%,4,77.2%,4,21.3,1,19.7,21,104.8
Orlando,27,101.7,21,85.5,30,25.6%,24,82.5%,11,19.5,13,17.1,9,110.8
Philadelphia,30,95.6,30,77.0,14,28.1%,7,79.0%,17,18.1,12,17.3,27,101.7
Phoenix,14,105.5,15,87.5,23,27.2%,2,76.3%,18,17.9,17,16.5,15,105.8
Portland,7,108.9,7,92.1,20,27.5%,20,81.4%,6,20.2,15,16.9,2,116.5
Sacramento,17,104.9,20,86.0,6,30.2%,9,79.6%,2,21.9,4,19.4,11,108.7
San Antonio,8,108.8,2,95.2,26,26.3%,28,83.6%,30,13.5,29,13.0,25,102.7
Toronto,4,111.3,4,93.3,8,30.0%,22,81.8%,8,20.2,14,16.9,3,116.5
Utah,15,105.5,27,84.1,1,32.7%,17,81.1%,1,23.9,3,19.4,1,119.6
Washington,22,104.2,19,86.2,11,28.8%,12,80.0%,27,15.5,27,14.7,23,103.4
