Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,111.4,,2.7,,15.0%,,124.3,,1.6,,62.3%,,138.0,,1.1,,28.2%,,117.7
Atlanta,4,115.0,12,2.9,24,13.9%,6,127.8,24,1.2,28,57.6%,21,136.4,7,1.4,16,27.0%,7,122.6
Boston,16,112.1,25,1.9,22,13.9%,24,120.6,17,1.5,23,59.9%,11,138.8,27,0.4,26,24.8%,24,112.4
Brooklyn,9,113.3,10,2.9,12,15.3%,10,126.1,27,1.1,5,64.8%,27,126.9,2,1.8,9,30.3%,3,125.7
Charlotte,11,112.6,2,3.9,4,17.0%,5,129.5,2,2.5,1,71.4%,6,142.9,6,1.5,7,31.2%,6,123.3
Chicago,6,114.3,3,3.8,21,14.1%,1,133.2,3,2.3,11,63.4%,1,156.4,8,1.4,21,26.4%,9,120.8
Cleveland,19,111.0,7,3.2,19,14.3%,4,129.5,10,1.8,27,58.1%,3,146.8,11,1.4,18,26.9%,8,121.0
Dallas,15,112.3,30,1.1,29,12.8%,29,114.8,30,0.7,29,56.4%,30,122.4,25,0.4,28,23.4%,27,111.6
Denver,10,113.2,9,3.0,10,15.6%,7,127.6,26,1.2,8,63.8%,26,129.4,5,1.6,12,28.9%,4,125.2
Detroit,28,104.7,19,2.5,20,14.1%,14,125.0,18,1.5,21,60.7%,15,137.8,18,0.9,14,28.1%,15,117.7
Golden State,13,112.6,23,2.3,13,15.3%,25,120.2,9,1.8,16,61.5%,22,135.1,24,0.6,24,25.0%,28,110.9
Houston,27,107.8,28,1.4,30,12.1%,28,116.7,25,1.2,20,60.9%,25,130.4,26,0.4,30,23.0%,25,111.9
Indiana,14,112.4,21,2.5,27,13.4%,17,123.4,22,1.4,6,64.6%,19,136.7,15,1.0,25,25.0%,18,116.0
LA Clippers,26,108.8,29,1.3,7,16.4%,30,113.7,28,1.0,19,61.3%,29,126.4,29,0.4,6,31.9%,30,108.9
LA Lakers,24,109.4,15,2.7,3,17.0%,20,122.6,19,1.5,26,58.7%,20,136.6,13,1.3,2,34.6%,13,118.0
Memphis,5,114.9,1,4.2,1,18.8%,8,127.1,1,2.7,4,66.5%,4,146.0,12,1.3,3,33.9%,20,114.7
Miami,8,113.5,5,3.6,17,14.5%,2,132.9,13,1.6,30,56.1%,7,141.6,1,2.0,15,27.6%,1,130.1
Milwaukee,3,115.2,14,2.7,5,16.9%,19,123.1,20,1.5,22,60.2%,12,138.5,10,1.4,4,32.8%,12,118.4
Minnesota,7,113.9,17,2.7,6,16.7%,21,122.5,8,1.8,2,69.4%,23,135.0,22,0.8,8,30.6%,21,114.1
New Orleans,23,109.7,11,2.9,9,15.6%,13,125.7,23,1.4,12,63.0%,24,133.0,4,1.6,11,29.9%,5,123.3
New York,21,110.2,16,2.7,25,13.7%,11,126.1,15,1.5,9,63.5%,16,137.2,14,1.2,27,24.8%,10,120.6
Oklahoma City,30,103.5,22,2.4,18,14.5%,22,122.0,12,1.6,13,62.2%,14,137.8,21,0.9,22,25.8%,22,113.8
Orlando,29,104.3,24,1.9,16,14.6%,27,119.7,14,1.5,14,61.9%,13,138.1,28,0.4,13,28.5%,29,110.9
Philadelphia,12,112.6,18,2.5,15,14.6%,12,125.9,11,1.7,10,63.4%,10,140.1,19,0.9,19,26.8%,11,118.9
Phoenix,2,115.4,4,3.7,11,15.5%,3,131.9,4,2.1,15,61.7%,5,145.6,3,1.7,20,26.7%,2,126.1
Portland,25,109.3,27,1.7,28,12.9%,23,121.0,21,1.4,17,61.5%,18,136.8,30,0.3,29,23.1%,26,111.7
Sacramento,22,109.7,8,3.1,14,15.3%,9,126.8,5,2.1,18,61.5%,2,153.2,16,1.0,10,29.9%,19,115.9
San Antonio,17,112.0,13,2.8,8,16.2%,18,123.3,7,1.9,3,66.7%,8,140.6,23,0.7,5,31.9%,23,112.7
Toronto,18,112.0,6,3.4,2,18.3%,15,124.3,6,2.0,7,64.3%,17,137.2,9,1.4,1,35.9%,14,118.0
Utah,1,117.5,20,2.5,23,13.9%,16,123.6,16,1.5,24,59.8%,9,140.2,17,1.0,23,25.4%,17,116.0
Washington,20,110.5,26,1.7,26,13.5%,26,120.1,29,0.9,25,58.9%,28,126.5,20,0.9,17,27.0%,16,117.2
