Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,110.6,,94.7,,26.3%,,79.8%,,19.1,,17.0,,109.6
Atlanta,25,107.7,25,91.6,12,27.0%,4,77.0%,9,20.4,4,19.1,28,103.3
Boston,10,112.1,7,97.0,28,23.4%,10,79.4%,26,16.7,28,14.7,14,110.9
Brooklyn,20,109.7,16,94.9,11,27.2%,15,80.4%,22,17.9,16,17.0,29,102.2
Charlotte,11,111.9,11,95.8,18,25.9%,17,80.4%,24,17.1,21,15.7,23,106.3
Chicago,29,104.9,28,90.6,25,24.2%,28,82.2%,30,15.1,30,13.9,22,106.8
Cleveland,24,107.8,29,90.0,9,27.4%,22,80.7%,10,20.3,14,17.7,10,112.1
Dallas,19,109.9,15,95.0,15,26.4%,25,81.5%,19,18.9,17,16.7,13,111.0
Denver,7,112.9,14,95.3,1,30.8%,9,79.2%,6,21.2,5,19.1,20,107.7
Detroit,21,109.5,20,92.9,6,27.7%,21,80.7%,17,19.2,8,18.5,30,100.8
Golden State,1,116.5,1,102.2,24,24.3%,13,80.0%,23,17.2,25,15.1,11,111.2
Houston,2,115.5,2,100.5,13,26.7%,24,81.5%,29,15.6,27,14.8,27,103.4
Indiana,18,110.0,17,93.8,19,25.5%,20,80.5%,16,19.3,23,15.4,1,122.4
LA Clippers,8,112.4,6,97.1,23,24.8%,14,80.1%,18,19.0,18,16.5,8,112.6
LA Lakers,23,108.3,23,92.1,14,26.6%,3,76.8%,12,19.9,13,17.7,17,109.5
Memphis,27,106.1,24,91.7,26,23.8%,29,82.5%,27,16.4,29,14.7,16,109.8
Miami,26,107.6,26,91.0,4,28.5%,18,80.4%,8,20.5,6,19.0,26,104.2
Milwaukee,3,114.9,3,100.3,27,23.8%,6,78.2%,28,16.3,24,15.2,25,105.0
Minnesota,13,111.5,19,93.3,5,28.1%,23,80.9%,4,21.8,7,18.5,5,114.2
New Orleans,12,111.6,9,95.9,7,27.7%,12,79.9%,3,22.0,9,18.5,3,115.8
New York,30,104.2,30,88.0,16,26.1%,16,80.4%,13,19.7,12,17.7,19,108.6
Oklahoma City,16,110.5,21,92.8,3,29.6%,2,75.9%,5,21.4,1,19.7,24,105.4
Orlando,22,109.4,18,93.8,20,25.4%,26,81.6%,20,18.4,20,16.2,12,111.2
Philadelphia,9,112.2,12,95.7,8,27.4%,7,78.3%,1,22.8,3,19.3,4,115.0
Phoenix,28,105.7,27,90.6,29,23.2%,11,79.5%,21,18.2,22,15.6,6,113.0
Portland,4,114.8,5,97.6,2,29.8%,27,81.9%,2,22.0,2,19.5,18,109.5
Sacramento,17,110.1,22,92.6,17,26.0%,1,75.2%,11,20.3,10,18.4,21,107.4
San Antonio,5,113.5,4,100.0,30,22.7%,30,83.9%,25,17.0,26,14.8,9,112.3
Toronto,6,113.5,8,96.4,21,25.0%,5,77.6%,14,19.3,19,16.3,2,116.4
Utah,14,111.4,10,95.9,10,27.2%,19,80.5%,7,20.7,11,18.0,7,112.7
Washington,15,111.0,13,95.6,22,24.8%,8,78.5%,15,19.3,15,17.0,15,110.8
