Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,112.9,,2.7,,14.7%,,125.8,,1.5,,62.8%,,137.7,,1.1,,27.5%,,120.0
Atlanta,9,115.5,20,2.4,20,14.1%,14,125.8,22,1.2,25,59.8%,18,134.6,16,1.1,18,26.8%,13,121.2
Boston,10,114.2,10,3.0,18,14.3%,6,129.4,4,2.0,20,61.4%,2,148.9,21,0.8,22,26.3%,21,117.1
Brooklyn,1,119.4,7,3.0,8,15.3%,7,129.4,25,1.2,21,61.3%,20,134.3,2,2.0,6,30.6%,3,128.4
Charlotte,22,111.0,11,2.9,6,15.8%,13,125.9,1,2.4,3,66.8%,1,151.0,26,0.5,7,30.0%,28,111.9
Chicago,17,111.8,15,2.7,26,12.9%,5,129.8,14,1.6,23,60.5%,6,143.4,11,1.2,26,24.1%,7,124.1
Cleveland,28,106.3,23,2.1,19,14.2%,25,122.4,6,1.9,11,63.9%,7,143.1,29,0.3,19,26.7%,29,110.2
Dallas,8,116.2,27,2.0,30,11.7%,19,124.5,28,1.1,19,61.6%,26,132.0,19,0.9,29,21.5%,16,120.5
Denver,5,118.0,4,3.4,14,14.9%,4,130.5,5,1.9,26,59.5%,5,144.1,8,1.4,13,27.6%,9,123.7
Detroit,26,108.4,24,2.0,21,14.0%,29,120.7,16,1.5,17,62.1%,13,136.8,25,0.6,15,27.1%,27,112.9
Golden State,21,111.1,29,1.8,24,13.5%,26,122.1,26,1.1,30,56.4%,25,132.4,22,0.8,24,24.9%,19,118.5
Houston,27,107.7,25,2.0,27,12.9%,20,123.8,17,1.4,5,65.9%,22,133.6,28,0.4,28,22.6%,24,115.1
Indiana,14,112.5,6,3.2,7,15.5%,8,129.1,7,1.8,4,66.1%,11,140.4,13,1.2,9,28.7%,12,121.5
LA Clippers,4,118.6,18,2.5,25,13.5%,11,127.3,15,1.6,24,60.2%,9,141.3,17,1.0,25,24.8%,15,120.6
LA Lakers,23,110.9,19,2.5,11,15.0%,22,123.4,19,1.4,28,58.6%,16,135.2,12,1.2,10,28.7%,18,119.6
Memphis,16,112.3,1,4.0,3,17.4%,3,131.6,2,2.2,7,65.4%,4,146.1,3,1.9,4,32.2%,6,124.5
Miami,19,111.8,14,2.8,12,14.9%,12,126.7,13,1.7,14,62.7%,15,135.6,15,1.1,17,27.1%,11,122.0
Milwaukee,7,117.5,8,3.0,1,17.8%,21,123.7,11,1.7,15,62.6%,10,140.9,10,1.3,2,33.9%,20,117.5
Minnesota,25,110.1,21,2.3,15,14.8%,27,122.1,8,1.8,1,72.0%,19,134.5,27,0.5,23,25.5%,26,113.2
New Orleans,12,114.0,13,2.8,9,15.2%,15,125.8,18,1.4,6,65.5%,24,133.1,9,1.4,11,28.4%,10,122.8
New York,24,110.7,28,2.0,29,12.1%,18,124.7,23,1.2,29,58.1%,23,133.3,20,0.9,30,20.9%,14,121.2
Oklahoma City,30,103.9,30,1.1,23,13.9%,30,115.5,29,1.0,12,63.4%,28,130.3,30,0.2,21,26.3%,30,109.9
Orlando,29,105.6,16,2.5,17,14.5%,17,125.3,20,1.3,18,62.0%,17,135.1,14,1.2,12,27.7%,17,120.4
Philadelphia,13,113.7,17,2.5,5,16.0%,24,122.7,9,1.8,22,60.9%,14,136.3,24,0.7,8,28.8%,25,113.8
Phoenix,6,117.7,9,3.0,10,15.0%,9,127.6,24,1.2,9,64.3%,29,129.7,4,1.8,16,27.1%,2,128.9
Portland,2,119.1,22,2.3,28,12.6%,16,125.4,30,0.8,16,62.1%,30,122.1,7,1.4,27,23.6%,4,127.0
Sacramento,11,114.2,2,3.7,13,14.9%,2,132.4,3,2.0,8,64.4%,3,147.6,6,1.6,5,30.6%,5,124.6
San Antonio,18,111.8,26,2.0,22,14.0%,28,121.2,21,1.2,10,64.1%,27,131.6,23,0.8,20,26.5%,22,116.0
Toronto,15,112.3,5,3.4,4,16.6%,10,127.5,12,1.7,13,63.1%,12,137.5,5,1.7,3,32.8%,8,124.0
Utah,3,118.8,3,3.7,16,14.6%,1,133.8,27,1.1,27,58.7%,21,133.9,1,2.5,14,27.2%,1,133.2
Washington,20,111.6,12,2.8,2,17.8%,23,122.8,10,1.7,2,66.9%,8,141.4,18,1.0,1,36.6%,23,115.2
