Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,106.6,,3.1,,13.7%,,123.3,,1.7,,55.8%,,137.7,,1.3,,25.4%,,116.0
Atlanta,22,105.3,4,3.9,7,15.1%,6,127.5,4,2.3,17,54.0%,6,146.1,8,1.6,10,27.6%,8,118.5
Boston,11,106.8,3,4.0,5,16.3%,8,126.4,2,2.3,6,60.8%,11,140.5,6,1.7,6,30.7%,7,118.5
Brooklyn,27,103.0,23,2.4,24,12.0%,21,121.4,23,1.4,14,56.5%,25,130.4,22,1.0,24,21.8%,15,115.0
Charlotte,9,107.6,10,3.6,25,11.9%,1,131.8,14,1.8,24,51.5%,7,143.8,5,1.8,25,21.4%,2,126.1
Chicago,24,105.1,29,1.8,27,11.4%,26,117.8,29,1.0,28,49.6%,22,131.6,26,0.8,23,22.2%,25,111.8
Cleveland,3,112.0,7,3.8,12,13.7%,3,129.3,8,2.2,18,53.9%,1,156.9,9,1.6,11,26.4%,10,117.4
Dallas,10,106.9,22,2.4,30,10.2%,11,124.7,24,1.3,29,47.5%,20,134.6,18,1.1,29,18.2%,6,119.0
Denver,20,105.6,11,3.4,9,14.5%,14,124.0,9,2.1,3,61.9%,5,146.8,13,1.3,8,27.9%,23,112.6
Detroit,12,106.7,20,2.7,13,13.7%,23,119.4,28,1.0,27,51.0%,27,126.0,7,1.7,9,27.6%,13,116.3
Golden State,1,114.9,6,3.8,2,17.0%,12,124.5,22,1.4,11,57.1%,24,130.5,3,2.3,4,31.8%,4,121.8
Houston,8,108.5,1,4.9,1,18.4%,7,126.5,3,2.3,1,63.7%,19,134.9,2,2.6,1,35.5%,3,122.7
Indiana,26,104.7,13,3.3,10,14.4%,13,124.2,7,2.2,9,59.0%,10,141.0,21,1.0,16,24.7%,24,112.1
LA Clippers,7,108.5,24,2.4,14,13.6%,25,118.0,27,1.1,25,51.5%,30,121.3,16,1.2,19,24.2%,14,116.3
LA Lakers,29,101.5,25,2.1,19,12.9%,29,116.7,19,1.6,16,54.5%,15,138.6,29,0.6,14,25.6%,29,107.2
Memphis,16,105.8,19,2.7,22,12.1%,16,123.1,12,1.8,22,53.0%,17,138.2,25,0.9,26,20.8%,22,112.6
Miami,13,106.6,15,3.0,20,12.5%,10,125.1,18,1.6,19,53.8%,8,141.6,10,1.4,21,23.1%,11,117.1
Milwaukee,25,104.9,9,3.6,11,14.2%,5,128.2,1,2.5,4,61.1%,2,151.9,19,1.0,12,26.0%,19,113.4
Minnesota,14,106.2,14,3.0,15,13.5%,15,123.9,16,1.7,12,56.6%,16,138.2,12,1.4,13,25.8%,12,116.7
New Orleans,21,105.5,21,2.6,21,12.3%,18,122.2,21,1.5,20,53.7%,18,135.8,20,1.0,22,22.8%,18,113.9
New York,23,105.1,30,1.7,23,12.1%,30,114.7,30,0.8,26,51.4%,29,123.9,24,1.0,20,24.1%,26,111.6
Oklahoma City,2,113.8,2,4.8,4,16.6%,4,128.8,10,1.9,5,61.0%,14,139.5,1,3.1,3,32.0%,1,126.4
Orlando,17,105.8,12,3.4,16,13.3%,9,126.0,5,2.3,15,54.9%,4,147.4,17,1.2,18,24.4%,16,114.0
Philadelphia,30,98.6,27,2.0,17,13.2%,28,117.2,25,1.2,13,56.6%,28,125.6,27,0.8,15,25.3%,21,112.7
Phoenix,28,102.0,16,2.9,8,14.8%,22,120.8,11,1.9,8,60.2%,12,140.1,23,1.0,7,28.5%,28,110.7
Portland,6,109.0,17,2.9,18,13.0%,17,122.3,17,1.6,10,57.3%,13,139.6,15,1.2,17,24.6%,17,114.0
Sacramento,19,105.7,18,2.8,6,16.3%,27,117.8,20,1.5,7,60.7%,26,128.0,14,1.3,5,30.9%,20,113.0
San Antonio,4,110.6,28,1.9,28,11.1%,24,118.3,26,1.2,30,42.9%,21,132.3,28,0.8,27,19.3%,27,111.0
Toronto,5,110.4,8,3.7,26,11.4%,2,131.2,6,2.2,23,51.9%,3,150.8,11,1.4,28,19.3%,9,118.1
Utah,15,106.0,26,2.0,29,10.3%,20,121.6,13,1.8,20,53.7%,9,141.4,30,0.2,30,15.6%,30,105.0
Washington,18,105.7,5,3.9,3,17.0%,19,122.1,15,1.7,2,62.6%,23,130.6,4,2.2,2,32.9%,5,119.1
