Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,105.8,,3.4,,14.0%,,123.4,,1.8,,57.5%,,137.4,,1.5,,26.2%,,116.4
Atlanta,5,109.4,13,3.7,12,14.7%,13,125.1,7,2.1,12,58.0%,15,139.0,14,1.5,16,25.5%,14,117.0
Boston,18,104.8,19,3.0,9,14.9%,25,118.6,24,1.5,8,59.6%,29,126.3,15,1.5,11,27.7%,19,114.2
Brooklyn,19,104.6,26,2.2,28,11.1%,24,119.9,29,1.0,26,51.9%,30,125.3,21,1.2,26,20.2%,12,117.9
Charlotte,28,100.8,27,2.2,30,10.3%,26,117.3,27,1.2,29,47.8%,22,133.0,24,1.0,30,19.2%,25,110.7
Chicago,12,107.5,14,3.5,20,12.3%,4,127.9,22,1.6,16,57.4%,11,139.8,7,1.9,21,23.0%,7,122.4
Cleveland,3,111.4,9,3.9,13,14.5%,9,126.4,11,2.0,14,57.9%,8,141.1,8,1.9,9,27.9%,10,119.0
Dallas,6,109.2,12,3.7,14,14.4%,16,124.0,13,2.0,15,57.6%,14,139.1,16,1.4,13,27.3%,21,113.4
Denver,20,104.6,6,4.1,5,16.5%,17,124.0,6,2.3,3,65.9%,5,142.7,13,1.6,4,32.5%,18,114.3
Detroit,16,105.1,8,3.9,10,14.9%,10,126.2,20,1.6,10,59.5%,26,130.6,4,2.4,8,28.9%,3,124.5
Golden State,2,112.5,1,5.4,3,18.3%,1,130.6,4,2.4,5,62.4%,9,140.2,1,2.9,3,33.3%,1,126.5
Houston,11,107.6,2,4.9,1,19.3%,21,121.7,2,2.7,1,66.9%,17,137.1,5,2.2,1,37.1%,20,114.0
Indiana,23,103.8,21,2.9,26,11.8%,8,126.5,28,1.2,27,50.4%,19,135.2,10,1.8,22,22.7%,4,124.1
LA Clippers,1,113.2,10,3.8,11,14.8%,7,126.6,23,1.5,24,53.6%,20,134.3,6,2.1,12,27.6%,6,122.8
LA Lakers,25,102.5,17,3.1,19,12.5%,14,124.5,5,2.4,18,56.2%,1,153.3,26,0.8,18,24.0%,26,110.6
Memphis,13,105.9,16,3.5,25,12.0%,3,128.8,8,2.1,25,53.6%,13,139.5,18,1.3,28,19.9%,9,119.8
Miami,21,104.3,20,3.0,22,12.2%,19,123.2,17,1.7,23,54.0%,24,132.5,17,1.4,23,22.2%,13,117.4
Milwaukee,24,102.9,7,4.1,6,15.8%,11,126.2,1,2.7,4,63.2%,6,142.4,19,1.3,14,27.2%,16,115.2
Minnesota,26,102.0,18,3.0,16,13.8%,22,121.3,14,1.9,7,60.4%,18,135.3,22,1.1,15,27.1%,22,113.2
New Orleans,9,108.3,25,2.6,24,12.2%,23,120.4,19,1.6,20,55.1%,12,139.6,23,1.1,20,23.3%,24,111.3
New York,29,99.6,30,1.3,29,10.4%,30,111.1,30,1.0,30,47.6%,27,126.6,30,0.3,27,20.1%,30,102.2
Oklahoma City,10,107.9,3,4.6,4,16.7%,6,127.2,9,2.1,9,59.6%,2,145.4,3,2.5,5,32.4%,8,121.0
Orlando,27,101.7,23,2.7,27,11.5%,15,124.1,12,2.0,21,54.9%,7,141.7,27,0.8,29,19.9%,23,112.3
Philadelphia,30,95.6,24,2.7,8,15.6%,27,116.0,16,1.9,19,56.1%,25,131.6,25,1.0,7,30.2%,27,108.8
Phoenix,14,105.5,4,4.4,2,18.4%,18,123.7,3,2.7,2,66.5%,4,144.1,9,1.8,2,36.2%,17,114.8
Portland,7,108.9,29,1.9,17,13.0%,28,113.9,25,1.4,11,59.4%,21,134.0,29,0.5,19,23.8%,29,104.7
Sacramento,17,104.9,15,3.5,15,14.1%,12,125.9,15,1.9,6,61.0%,3,144.9,12,1.7,10,27.7%,11,118.1
San Antonio,8,108.8,28,1.9,21,12.3%,29,113.3,26,1.4,28,49.8%,28,126.5,28,0.6,24,21.9%,28,106.3
Toronto,4,111.3,22,2.9,18,13.0%,20,122.2,21,1.6,22,54.5%,23,132.9,20,1.3,17,25.2%,15,116.5
Utah,15,105.5,11,3.7,23,12.2%,2,130.5,10,2.0,17,57.3%,10,140.2,11,1.7,25,20.7%,5,123.5
Washington,22,104.2,5,4.3,7,15.7%,5,127.9,18,1.7,13,58.0%,16,137.1,2,2.6,6,30.4%,2,124.6
