Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,110.9,,2.5,,14.7%,,122.8,,1.5,,63.6%,,135.3,,1.0,,27.3%,,117.0
Atlanta,26,107.5,19,2.3,6,15.9%,23,119.3,28,1.0,2,69.5%,30,121.1,11,1.3,5,30.6%,10,119.1
Boston,4,113.6,12,2.6,8,15.7%,15,122.5,9,1.7,14,64.1%,14,135.2,20,0.8,12,27.9%,20,115.4
Brooklyn,21,109.4,18,2.3,21,13.9%,18,121.1,23,1.3,24,60.3%,17,135.0,13,1.1,15,27.3%,16,116.3
Charlotte,27,107.0,26,1.7,16,14.3%,24,118.5,29,1.0,16,63.5%,28,125.5,21,0.8,7,29.7%,19,115.7
Chicago,28,106.6,7,3.0,4,16.5%,12,124.0,1,2.0,6,66.1%,12,136.0,16,1.0,6,30.1%,17,116.0
Cleveland,25,107.5,23,1.9,24,13.4%,26,117.7,26,1.1,12,64.9%,29,125.2,19,0.8,20,25.5%,22,114.3
Dallas,1,116.9,27,1.6,30,12.3%,25,118.4,22,1.3,29,58.0%,5,141.7,26,0.3,26,23.3%,26,108.0
Denver,5,113.2,25,1.8,18,14.1%,27,117.1,14,1.5,23,60.5%,19,134.3,27,0.3,21,25.5%,28,107.2
Detroit,22,109.4,15,2.5,23,13.4%,13,123.9,24,1.3,17,63.1%,26,127.5,10,1.3,19,25.9%,5,123.9
Golden State,30,104.9,22,1.9,27,13.1%,22,119.9,27,1.1,26,59.6%,27,126.6,15,1.0,25,24.1%,14,117.8
Houston,7,112.9,8,2.9,10,14.9%,7,125.8,16,1.4,5,66.4%,24,129.9,4,1.5,23,25.5%,3,125.4
Indiana,17,110.7,20,2.0,22,13.5%,16,121.2,8,1.7,4,67.9%,6,140.4,25,0.4,28,22.9%,25,110.9
LA Clippers,2,114.2,9,2.9,7,15.8%,14,123.7,4,1.9,7,65.7%,1,146.8,22,0.8,9,29.0%,24,112.2
LA Lakers,11,112.3,1,3.8,5,16.1%,2,129.8,2,2.0,20,61.9%,4,142.5,2,1.9,8,29.5%,4,125.0
Memphis,23,109.3,14,2.5,3,16.9%,17,121.2,12,1.6,1,72.4%,18,134.6,17,1.0,4,31.3%,18,115.8
Miami,8,112.9,17,2.4,26,13.1%,10,125.0,17,1.4,13,64.7%,20,134.1,18,0.9,30,22.2%,12,118.9
Milwaukee,6,113.1,11,2.7,1,18.5%,19,121.0,21,1.3,19,62.1%,15,135.2,9,1.4,1,35.0%,15,116.3
Minnesota,24,108.5,30,1.4,17,14.2%,30,115.9,11,1.6,21,61.3%,16,135.0,30,-0.1,17,26.3%,27,107.2
New Orleans,14,111.6,6,3.2,13,14.7%,4,128.4,15,1.4,25,60.2%,7,138.9,3,1.9,10,28.5%,1,126.3
New York,29,106.5,28,1.6,25,13.2%,28,117.0,13,1.6,18,62.7%,13,136.0,28,0.1,29,22.9%,30,105.5
Oklahoma City,15,111.1,29,1.5,19,14.1%,29,116.8,20,1.3,30,57.3%,22,133.7,29,0.1,18,26.1%,29,106.8
Orlando,20,109.7,10,2.8,11,14.8%,9,125.2,10,1.7,22,60.9%,10,138.3,14,1.1,16,27.2%,13,118.5
Philadelphia,12,111.9,21,2.0,15,14.5%,20,120.9,19,1.4,15,63.9%,23,132.3,24,0.6,22,25.5%,21,114.5
Phoenix,13,111.8,3,3.3,14,14.7%,1,129.9,5,1.9,3,68.2%,3,143.5,5,1.5,11,28.3%,6,122.7
Portland,3,114.0,16,2.4,29,12.4%,5,127.2,30,0.9,27,59.3%,25,129.6,7,1.4,24,24.2%,2,126.1
Sacramento,19,109.8,13,2.6,20,14.1%,11,124.5,18,1.4,28,58.4%,9,138.4,12,1.2,13,27.6%,11,118.9
San Antonio,9,112.5,4,3.3,12,14.7%,3,129.2,3,2.0,9,65.7%,2,145.8,8,1.4,14,27.5%,7,121.8
Toronto,16,111.0,2,3.6,2,18.4%,8,125.3,6,1.8,8,65.7%,11,137.8,1,1.9,2,34.0%,8,121.1
Utah,10,112.4,24,1.8,28,12.7%,21,119.9,25,1.2,11,65.5%,21,134.0,23,0.6,27,23.1%,23,113.6
Washington,18,110.6,5,3.2,9,15.6%,6,126.3,7,1.7,10,65.6%,8,138.5,6,1.4,3,32.1%,9,120.2
