Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,106.6,,89.8,,27.0%,,81.1%,,17.4,,15.9,,106.6
Atlanta,22,105.3,12,90.2,30,22.5%,14,81.3%,30,12.3,30,11.5,18,105.1
Boston,11,106.8,22,88.1,11,28.1%,3,78.3%,15,18.0,13,16.7,17,105.3
Brooklyn,27,103.0,23,87.6,19,26.1%,19,82.0%,16,17.6,11,17.1,27,100.3
Charlotte,9,107.6,8,91.5,27,23.5%,27,83.2%,26,14.5,27,13.3,13,107.0
Chicago,24,105.1,16,88.9,10,28.1%,23,82.4%,12,18.3,8,17.3,24,102.6
Cleveland,3,112.0,4,93.6,4,29.9%,20,82.0%,22,15.7,20,15.0,23,102.7
Dallas,10,106.9,5,92.9,28,23.4%,30,85.0%,28,13.0,28,12.8,29,100.0
Denver,20,105.6,25,87.1,3,30.0%,9,80.1%,14,18.1,6,17.5,28,100.3
Detroit,12,106.7,21,88.1,5,29.8%,8,79.4%,3,20.6,2,19.2,22,103.4
Golden State,1,114.9,1,100.2,23,25.5%,5,78.5%,20,16.8,16,16.2,26,100.4
Houston,8,108.5,20,88.6,6,29.6%,1,76.1%,2,20.7,4,18.4,8,109.6
Indiana,26,104.7,26,86.9,18,26.5%,12,80.9%,18,17.6,21,14.8,3,116.6
LA Clippers,7,108.5,3,94.6,26,23.8%,13,81.2%,27,14.2,26,13.4,19,104.5
LA Lakers,29,101.5,28,85.4,20,25.9%,21,82.0%,25,14.8,25,13.9,20,104.3
Memphis,16,105.8,24,87.3,9,28.5%,15,81.3%,4,20.1,3,18.4,16,105.4
Miami,13,106.6,13,90.1,15,27.5%,18,81.6%,6,19.5,12,17.0,5,112.3
Milwaukee,25,104.9,27,86.7,13,27.9%,10,80.6%,7,19.5,7,17.5,11,108.1
Minnesota,14,106.2,18,88.8,14,27.6%,17,81.5%,9,19.3,17,16.0,1,118.3
New Orleans,21,105.5,11,90.3,25,24.1%,26,83.1%,24,15.0,24,13.9,15,105.6
New York,23,105.1,19,88.7,16,27.1%,24,82.4%,10,19.1,15,16.4,4,113.8
Oklahoma City,2,113.8,7,92.4,1,34.5%,2,78.0%,1,21.8,1,19.7,12,107.0
Orlando,17,105.8,15,89.4,21,25.7%,11,80.8%,17,17.6,14,16.5,21,103.8
Philadelphia,30,98.6,30,83.7,24,24.3%,22,82.0%,21,16.2,23,14.5,9,109.3
Phoenix,28,102.0,29,83.8,12,28.0%,7,79.4%,5,20.1,5,17.8,10,109.0
Portland,6,109.0,9,91.4,8,28.7%,16,81.3%,8,19.5,9,17.2,7,110.7
Sacramento,19,105.7,14,89.4,17,26.6%,4,78.3%,11,18.8,10,17.1,14,106.3
San Antonio,4,110.6,2,96.1,22,25.6%,29,84.5%,19,17.5,22,14.6,2,118.3
Toronto,5,110.4,6,92.8,7,29.6%,25,82.9%,23,15.5,19,15.8,30,95.8
Utah,15,106.0,17,88.8,2,30.5%,28,84.4%,13,18.1,18,15.8,6,112.0
Washington,18,105.7,10,90.5,29,22.9%,6,79.4%,29,12.8,29,12.3,25,102.0
