Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,105.8,,3.7,,14.1%,,125.4,,2.1,,58.2%,,140.1,,1.7,,26.6%,,117.6
Atlanta,16,105.3,3,4.7,2,17.8%,14,125.9,9,2.2,5,65.0%,19,138.3,4,2.5,2,35.0%,11,120.1
Boston,24,103.3,18,3.4,8,15.5%,25,121.2,17,2.0,20,56.5%,22,137.2,18,1.5,6,30.5%,22,113.9
Brooklyn,7,108.6,27,2.7,28,11.1%,26,120.8,24,1.8,28,49.6%,17,139.8,27,0.8,28,20.2%,26,109.4
Charlotte,28,101.3,5,4.5,5,15.9%,11,126.7,13,2.1,12,58.9%,11,141.7,5,2.4,3,34.4%,10,120.4
Chicago,21,103.6,24,3.0,27,11.1%,16,125.3,21,1.9,26,52.3%,12,141.6,22,1.1,30,19.7%,19,114.3
Cleveland,20,103.7,25,2.7,21,12.8%,28,117.7,25,1.8,18,56.7%,28,134.5,24,1.0,19,24.6%,27,108.3
Dallas,12,106.1,9,4.2,9,15.3%,12,126.6,23,1.8,21,55.7%,21,137.4,6,2.3,7,30.0%,8,122.0
Denver,5,110.9,1,6.2,1,18.5%,2,133.0,1,3.2,2,67.4%,2,148.5,1,2.9,1,35.4%,5,123.6
Detroit,23,103.3,16,3.6,10,15.1%,24,121.5,15,2.1,4,65.8%,23,136.9,15,1.6,8,29.8%,18,114.5
Golden State,11,106.2,11,4.1,17,13.8%,5,130.4,29,1.3,11,59.6%,30,127.7,3,2.8,18,25.8%,1,131.7
Houston,6,109.8,10,4.2,3,17.7%,21,123.1,7,2.3,3,66.8%,18,139.7,13,1.8,4,33.8%,17,114.9
Indiana,19,104.4,14,3.8,20,13.4%,9,128.4,19,1.9,14,58.4%,15,140.4,11,1.8,22,23.4%,9,121.6
LA Clippers,3,111.5,4,4.7,4,17.1%,13,126.1,2,2.9,6,63.6%,6,143.5,12,1.8,9,29.4%,14,116.9
LA Lakers,8,108.3,26,2.7,23,12.4%,23,121.7,27,1.7,23,54.4%,20,137.8,26,1.0,24,22.9%,24,112.9
Memphis,18,105.2,7,4.3,22,12.8%,3,132.3,4,2.6,15,57.8%,7,143.5,14,1.7,26,21.0%,6,122.9
Miami,1,113.4,13,3.8,11,14.9%,18,125.1,6,2.3,13,58.8%,16,139.8,16,1.6,13,27.2%,15,116.8
Milwaukee,22,103.5,12,4.0,14,14.4%,15,125.6,18,2.0,8,61.6%,26,135.1,10,1.9,14,26.9%,13,119.4
Minnesota,25,102.5,17,3.6,18,13.6%,17,125.2,5,2.4,9,60.3%,13,141.0,21,1.2,20,23.8%,21,114.0
New Orleans,17,105.2,20,3.4,30,10.8%,4,131.2,28,1.5,30,45.7%,5,144.4,9,1.9,25,22.3%,3,126.1
New York,4,111.2,21,3.4,26,11.4%,8,128.4,12,2.1,29,49.5%,9,143.0,20,1.3,29,20.0%,12,119.7
Oklahoma City,2,112.2,2,5.8,6,15.7%,1,135.8,3,2.8,7,62.2%,3,147.3,2,2.9,11,28.5%,2,129.2
Orlando,27,101.4,30,1.9,24,11.9%,30,114.3,30,1.2,25,52.5%,29,129.5,29,0.7,21,23.5%,28,107.6
Philadelphia,26,102.2,23,3.1,19,13.5%,22,121.8,16,2.0,17,56.9%,8,143.0,25,1.0,17,26.0%,25,110.2
Phoenix,29,101.2,19,3.4,16,14.0%,20,123.2,20,1.9,10,59.8%,25,135.9,17,1.5,12,27.5%,16,116.3
Portland,13,106.0,29,2.4,25,11.7%,27,118.7,26,1.7,22,55.5%,10,142.2,28,0.8,23,23.2%,30,107.1
Sacramento,15,105.6,6,4.4,7,15.5%,7,128.5,8,2.3,1,68.4%,24,136.1,7,2.2,5,30.5%,4,124.3
San Antonio,9,108.0,28,2.6,13,14.5%,29,117.3,22,1.9,16,57.3%,27,134.6,30,0.7,16,26.3%,29,107.3
Toronto,14,105.7,22,3.1,29,11.0%,10,126.8,11,2.1,27,51.4%,1,151.3,23,1.0,27,20.5%,23,113.2
Utah,10,106.4,15,3.7,15,14.1%,19,123.5,10,2.2,24,54.0%,14,140.9,19,1.5,15,26.6%,20,114.3
Washington,30,99.7,8,4.3,12,14.7%,6,129.7,14,2.1,19,56.5%,4,147.0,8,2.2,10,28.5%,7,122.6
