Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,108.4,,93.4,,25.8%,,80.0%,,18.1,,16.1,,110.1
Atlanta,26,104.5,25,90.0,19,25.0%,24,81.7%,22,16.4,23,14.7,17,109.2
Boston,18,107.5,10,94.0,23,24.6%,21,81.1%,18,16.9,19,15.2,19,108.4
Brooklyn,22,106.8,19,93.0,21,24.7%,19,80.8%,17,17.1,20,15.2,13,110.4
Charlotte,10,109.3,16,93.2,14,26.3%,14,80.0%,8,19.6,10,17.3,14,110.3
Chicago,28,103.8,27,89.8,25,24.3%,10,79.5%,29,14.8,17,15.3,30,93.7
Cleveland,5,112.7,3,98.9,24,24.3%,9,79.3%,25,16.2,22,14.8,20,107.5
Dallas,24,105.9,12,93.7,30,21.6%,30,83.7%,28,15.0,30,13.4,15,110.0
Denver,6,112.1,8,94.4,2,29.5%,8,78.9%,1,22.5,2,18.9,6,116.0
Detroit,19,107.2,24,91.1,16,25.6%,6,78.1%,11,19.4,5,17.7,22,106.9
Golden State,2,113.9,1,101.5,29,22.7%,1,75.9%,14,18.6,14,16.3,11,111.1
Houston,1,114.8,2,100.1,15,26.2%,16,80.4%,24,16.2,26,14.3,12,110.9
Indiana,13,109.3,14,93.3,17,25.5%,12,79.6%,21,16.6,21,15.1,21,107.1
LA Clippers,8,109.8,9,94.1,3,29.4%,11,79.6%,3,21.6,4,17.9,3,118.6
LA Lakers,23,106.5,26,90.0,10,26.7%,3,76.8%,4,21.3,6,17.7,4,117.5
Memphis,27,104.5,28,89.2,13,26.6%,22,81.3%,20,16.7,16,15.4,24,106.1
Miami,20,107.0,15,93.3,18,25.3%,27,82.0%,27,15.2,27,14.3,27,103.8
Milwaukee,12,109.3,7,95.9,26,23.5%,4,78.0%,26,16.1,25,14.6,18,108.8
Minnesota,4,113.3,5,96.6,4,27.8%,25,81.8%,5,20.8,9,17.4,5,117.3
New Orleans,11,109.3,6,96.2,28,22.8%,18,80.7%,16,18.1,28,14.1,1,126.1
New York,21,106.9,23,91.3,6,27.4%,17,80.6%,7,19.8,7,17.6,16,109.9
Oklahoma City,7,110.2,18,93.0,1,30.1%,2,76.6%,6,20.7,1,19.0,25,105.2
Orlando,25,105.3,22,91.4,27,23.1%,20,81.1%,30,13.7,29,13.5,29,99.8
Philadelphia,9,109.6,11,93.9,5,27.6%,5,78.1%,2,21.8,3,18.7,8,113.0
Phoenix,30,103.1,30,87.9,11,26.7%,7,78.1%,13,18.7,8,17.6,28,103.6
Portland,15,108.4,13,93.5,7,27.1%,28,82.4%,10,19.5,12,16.9,10,112.0
Sacramento,29,103.5,29,88.5,22,24.7%,23,81.4%,23,16.3,18,15.2,26,104.9
San Antonio,17,107.7,21,91.6,9,27.0%,29,82.5%,12,19.2,15,15.8,2,118.9
Toronto,3,113.5,4,97.7,8,27.0%,15,80.2%,9,19.5,13,16.5,7,115.5
Utah,16,107.9,20,92.9,20,25.0%,26,81.9%,19,16.7,24,14.6,9,112.0
Washington,14,108.6,17,93.2,12,26.7%,13,79.8%,15,18.5,11,17.0,23,106.3
