Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,111.4,,94.9,,26.5%,,80.0%,,19.7,,17.3,,110.7
Atlanta,4,115.0,2,100.1,20,25.6%,22,80.8%,23,18.3,13,17.4,29,102.2
Boston,16,112.1,13,96.2,12,26.8%,20,80.8%,9,20.6,11,18.1,17,110.5
Brooklyn,9,113.3,10,96.9,19,25.6%,13,80.2%,15,19.3,17,17.0,18,110.1
Charlotte,11,112.6,15,95.2,14,26.0%,4,78.0%,17,19.1,14,17.4,22,107.0
Chicago,6,114.3,4,99.2,30,23.2%,26,81.7%,27,16.8,27,14.8,12,111.7
Cleveland,19,111.0,20,93.2,8,27.8%,16,80.3%,7,21.5,7,18.7,10,112.0
Dallas,15,112.3,6,98.7,21,25.2%,30,83.3%,30,14.9,30,14.6,30,100.0
Denver,10,113.2,9,97.4,22,25.2%,14,80.2%,18,19.0,22,16.1,5,115.8
Detroit,28,104.7,30,87.1,17,25.7%,11,79.9%,11,20.1,8,18.3,26,105.7
Golden State,13,112.6,8,97.5,15,26.0%,10,79.9%,20,19.0,18,17.0,19,108.9
Houston,27,107.8,24,91.9,18,25.7%,29,83.2%,12,19.9,23,15.8,1,124.5
Indiana,14,112.4,18,94.7,4,29.3%,24,81.0%,8,21.4,9,18.3,8,113.2
LA Clippers,26,108.8,17,95.0,26,24.1%,12,79.9%,28,15.9,26,14.8,27,104.5
LA Lakers,24,109.4,19,93.8,24,24.5%,7,78.7%,24,18.1,20,16.6,25,106.2
Memphis,5,114.9,23,92.6,1,32.9%,1,74.7%,1,26.9,1,22.6,6,115.3
Miami,8,113.5,11,96.5,9,27.7%,18,80.6%,22,18.6,16,17.0,23,106.9
Milwaukee,3,115.2,5,98.9,11,26.9%,5,78.5%,10,20.4,12,17.8,11,111.8
Minnesota,7,113.9,14,96.0,6,28.9%,3,77.6%,4,22.8,3,19.9,15,111.0
New Orleans,23,109.7,26,91.1,5,29.0%,8,79.2%,6,21.7,5,19.0,14,111.4
New York,21,110.2,25,91.7,7,28.8%,17,80.3%,5,21.9,4,19.1,13,111.6
Oklahoma City,30,103.5,29,87.9,28,23.6%,23,80.9%,29,15.6,29,14.7,28,103.5
Orlando,29,104.3,28,88.8,27,24.0%,21,80.8%,25,17.6,28,14.8,4,117.0
Philadelphia,12,112.6,7,98.3,29,23.6%,25,81.2%,26,17.2,25,15.2,16,110.6
Phoenix,2,115.4,3,99.5,23,24.7%,9,79.6%,21,18.8,19,17.0,20,108.1
Portland,25,109.3,21,93.2,13,26.6%,28,81.8%,13,19.9,15,17.3,9,112.5
Sacramento,22,109.7,22,92.8,16,25.7%,15,80.2%,16,19.1,21,16.3,7,114.9
San Antonio,17,112.0,16,95.1,10,27.1%,6,78.7%,14,19.8,10,18.1,24,106.4
Toronto,18,112.0,27,90.9,2,31.2%,2,75.9%,2,23.5,2,21.0,21,107.5
Utah,1,117.5,1,100.7,3,29.6%,19,80.8%,3,23.1,6,18.8,3,120.0
Washington,20,110.5,12,96.3,25,24.2%,27,81.7%,19,19.0,24,15.4,2,121.0
